level,score_mode,metric,point,ci_low,ci_high,std,iterations
image,topk_mse_5,accuracy,0.786,0.761,0.81,0.012621664169451133,1000
image,topk_mse_5,precision,0.9872727272727273,0.9763603955459531,0.9963169280142996,0.0048731972068660305,1000
image,topk_mse_5,recall,0.724,0.6935452037351444,0.7544615372152554,0.01590486547985497,1000
image,topk_mse_5,f1,0.8353846153846154,0.8140762848356202,0.8558605372115765,0.01085880685560275,1000
image,topk_mse_5,fpr,0.028,0.008129258418090255,0.05079630373023714,0.010627918305550316,1000
image,topk_mse_10,auroc,0.9365760000000001,0.9215643202853074,0.9503113754004715,0.0074506730830018785,1000
image,topk_mse_10,accuracy,0.788,0.763,0.812,0.012654936840080499,1000
image,topk_mse_10,precision,0.9855595667870036,0.9745893374854132,0.9945054945054945,0.005017926176334456,1000
image,topk_mse_10,recall,0.728,0.6968827124537365,0.7582642478468332,0.01594907410758381,1000
image,topk_mse_10,f1,0.8374233128834356,0.8155572628813601,0.8569417744386614,0.010840695125791439,1000
image,topk_mse_10,fpr,0.032,0.012293827367012379,0.05622489959839357,0.01118702494388475,1000
image,ensemble_mse_l1,auroc,0.8894613333333333,0.8684311954853499,0.9088857194509624,0.010567314604790566,1000
image,ensemble_mse_l1,accuracy,0.751,0.723,0.778025,0.014124777709590537,1000
image,ensemble_mse_l1,precision,0.9647495361781077,0.9477584999191766,0.9789684986790828,0.007928617526535004,1000
image,ensemble_mse_l1,recall,0.6933333333333334,0.6581390332308307,0.7267866800147715,0.017321689230488522,1000
image,ensemble_mse_l1,f1,0.8068269976726145,0.7827372733594702,0.8297337798867702,0.012357692376618889,1000
image,ensemble_mse_l1,fpr,0.076,0.045081967213114756,0.11160000739973361,0.016747445175020314,1000
image,ensemble_mse_retina,auroc,0.9120586666666667,0.8933420180932989,0.9298154224773768,0.009391462907940334,1000
image,ensemble_mse_retina,accuracy,0.782,0.754975,0.806,0.013115133156690327,1000
image,ensemble_mse_retina,precision,0.9818840579710145,0.9694240305652227,0.9925936157151627,0.0056415793131678925,1000
image,ensemble_mse_retina,recall,0.7226666666666667,0.6890397795264169,0.7523458866058571,0.01626876622129041,1000
image,ensemble_mse_retina,f1,0.8325652841781874,0.8089679680086517,0.8524596240080691,0.011217526049882277,1000
image,ensemble_mse_retina,fpr,0.04,0.01673121477229503,0.06464882994837552,0.01225416268750457,1000
image,ensemble_mse_l1_retina,auroc,0.8993546666666667,0.880075255178792,0.9173932675334265,0.009668130382273777,1000
image,ensemble_mse_l1_retina,accuracy,0.766,0.741,0.792,0.013023732860344531,1000
image,ensemble_mse_l1_retina,precision,0.9690909090909091,0.9545414673046252,0.9820176002055498,0.007163454957932132,1000
image,ensemble_mse_l1_retina,recall,0.7106666666666667,0.680141590389016,0.7428995689539292,0.01610819396450842,1000
image,ensemble_mse_l1_retina,f1,0.82,0.798129201292452,0.841787969668154,0.011243256368455197,1000
image,ensemble_mse_l1_retina,fpr,0.068,0.0401530033176183,0.09913964148877942,0.01544785670040465,1000
image,ensemble_all_base,auroc,0.9208426666666667,0.9039342103413456,0.9370709342265626,0.008570047341523196,1000
image,ensemble_all_base,accuracy,0.783,0.758,0.808,0.012815811328980319,1000
image,ensemble_all_base,precision,0.9801801801801802,0.967565370248297,0.9911832022164772,0.0060484841160866765,1000
image,ensemble_all_base,recall,0.7253333333333334,0.6935478544338859,0.7566525057801877,0.01605208359432372,1000
image,ensemble_all_base,f1,0.8337164750957854,0.8111089238845144,0.8550393883225209,0.01109084395270047,1000
image,ensemble_all_base,fpr,0.044,0.019082155400110296,0.07168572206342724,0.013152256781494776,1000
patient_mean,mse,auroc,0.9182082963569754,0.8955686152796578,0.9382792706919428,0.010530261439241297,1000
patient_mean,mse,accuracy,0.8248175182481752,0.7970437956204379,0.8554744525547445,0.014645714023712703,1000
patient_mean,mse,precision,0.9539170506912442,0.9323940765117236,0.9713605132841987,0.009952549219818165,1000
patient_mean,mse,recall,0.8054474708171206,0.7704432527594715,0.8392412112774104,0.01754580128707917,1000
patient_mean,mse,f1,0.8734177215189873,0.8502175541298327,0.89605158673889,0.011626668945848205,1000
patient_mean,mse,fpr,0.11695906432748537,0.07426472962066183,0.16754072947439236,0.02415823723108683,1000
patient_mean,l1,auroc,0.856861674289485,0.8268856897693978,0.8861007218545187,0.015217019397007479,1000
patient_mean,l1,accuracy,0.7795620437956204,0.7489051094890511,0.8116788321167884,0.01601788049525242,1000
patient_mean,l1,precision,0.8989010989010989,0.8716758729057011,0.9268333153464279,0.014400653642439502,1000
