class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.0026024982121307405,0.0009945399398433132,241,0.964
DME,250,167,0.0023423632343765348,0.0013375472986459917,204,0.816
DRUSEN,250,169,0.0012946558790281415,0.0008505714748054451,81,0.324
NORMAL,250,171,0.0008384874692419544,0.00030763046649948464,14,0.056
