run_id,percentile,threshold,accuracy,precision,recall,f1,fpr,auroc
ae_l1_l128,95,0.0247518774121999,0.699,0.9535353535353536,0.6293333333333333,0.7582329317269076,0.092,0.8459306666666666
ae_l1_l128,97,0.0267210210859775,0.633,0.9705159705159704,0.5266666666666666,0.682800345721694,0.048,0.8459306666666666
ae_l1_l128,99,0.0302349074929952,0.495,0.9766536964980544,0.3346666666666666,0.4985104270109235,0.024,0.8459306666666666
ae_mse_l128,95,0.0013368588406592,0.774,0.9763636363636364,0.716,0.8261538461538461,0.052,0.9103786666666668
ae_mse_l128,97,0.0015321720205247,0.721,0.98159509202454,0.64,0.774818401937046,0.036,0.9103786666666668
ae_mse_l128,99,0.0020188469626009,0.596,0.9887005649717514,0.4666666666666667,0.6340579710144928,0.016,0.9103786666666668
ae_mse_l256,95,0.0012765226885676,0.776,0.9781818181818182,0.7173333333333334,0.8276923076923077,0.048,0.9092693333333332
ae_mse_l256,97,0.0014742371626198,0.715,0.9813664596273292,0.632,0.7688564476885644,0.036,0.9092693333333332
ae_mse_l256,99,0.0019608331471681,0.585,0.9912023460410556,0.4506666666666666,0.6196150320806599,0.012,0.9092693333333332
ae_mse_l256_bs16,95,0.0013093407033011,0.775,0.9746835443037974,0.7186666666666667,0.827321565617805,0.056,0.910208
ae_mse_l256_bs16,97,0.0015277483779937,0.713,0.9832985386221296,0.628,0.7664768104149715,0.032,0.910208
ae_mse_l256_bs16,99,0.0020156962797045,0.601,0.9971671388101984,0.4693333333333333,0.6382592928377153,0.004,0.910208
ae_mse_l256_bs16_crop,95,0.0016889905091375,0.732,0.9616858237547892,0.6693333333333333,0.789308176100629,0.08,0.8767146666666666
ae_mse_l256_bs16_crop,97,0.0019012500531971,0.673,0.9752808988764043,0.5786666666666667,0.7263598326359832,0.044,0.8767146666666666
ae_mse_l256_bs16_crop,99,0.0024183353409171,0.542,0.9866666666666668,0.3946666666666666,0.5638095238095238,0.016,0.8767146666666666
ae_mse_l256_bs32_retina_margin,95,0.0015066493302583,0.751,0.9630314232902032,0.6946666666666667,0.8071262587141751,0.08,0.8862079999999999
ae_mse_l256_bs32_retina_margin,97,0.0016853765211999,0.693,0.970276008492569,0.6093333333333333,0.7485667485667485,0.056,0.8862079999999999
ae_mse_l256_bs32_retina_margin,99,0.0021694684028625,0.575,0.987987987987988,0.4386666666666666,0.6075715604801477,0.016,0.8862079999999999
ae_mse_l256_bs64,95,0.0013046912383288,0.762,0.974074074074074,0.7013333333333334,0.8155038759689922,0.056,0.9058453333333332
ae_mse_l256_bs64,97,0.0014918871037662,0.715,0.9813664596273292,0.632,0.7688564476885644,0.036,0.9058453333333332
ae_mse_l256_bs64,99,0.0019848290085792,0.576,0.9880239520958084,0.44,0.6088560885608856,0.016,0.9058453333333332
ae_mse_l64,95,0.00154753732495,0.77,0.9727272727272728,0.7133333333333334,0.823076923076923,0.06,0.912432
ae_mse_l64,97,0.0018175270035862,0.708,0.9872340425531916,0.6186666666666667,0.760655737704918,0.024,0.912432
ae_mse_l64,99,0.0024378381576389,0.596,0.9942857142857144,0.464,0.6327272727272727,0.008,0.912432
ae_mse_ssim_l128,95,0.0479576498270034,0.617,0.919908466819222,0.536,0.6773378264532435,0.14,0.7856906666666668
ae_mse_ssim_l128,97,0.0536896115541458,0.542,0.9506172839506172,0.4106666666666667,0.5735567970204841,0.064,0.7856906666666668
ae_mse_ssim_l128,99,0.0633209109306335,0.399,0.9570552147239264,0.208,0.3417305585980285,0.028,0.7856906666666668
vae_msekl_l128,95,0.0042143509723246,0.692,0.9702127659574468,0.608,0.7475409836065574,0.056,0.8757866666666666
vae_msekl_l128,97,0.0048769485205411,0.645,0.973621103117506,0.5413333333333333,0.6958011996572407,0.044,0.8757866666666666
vae_msekl_l128,99,0.0064501684717834,0.522,0.9857142857142858,0.368,0.5359223300970873,0.016,0.8757866666666666
