class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.002725441372022,0.0012594460577175,245,0.98
DME,250,167,0.0024547114837914,0.0014940904238401,211,0.844
DRUSEN,250,169,0.0011874843757832,0.0005642503278641,99,0.396
NORMAL,250,171,0.0007705014983657,0.0002764171718099,19,0.076
