class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.05816327916830778,0.01426122910042845,186,0.744
DME,250,167,0.05566815236210823,0.01609138087463156,157,0.628
DRUSEN,250,169,0.04069127230346203,0.011412076717438751,59,0.236
NORMAL,250,171,0.03669874253123999,0.011504309075604116,35,0.14
