percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
95,mse,0.0013368588639423242,0.9103786666666667,0.774,0.9763636363636363,0.716,0.8261538461538461,0.052,237,13,213,537
97,mse,0.0015321703813970086,0.9103786666666667,0.721,0.9815950920245399,0.64,0.774818401937046,0.036,241,9,270,480
99,mse,0.002018847111612559,0.9103786666666667,0.596,0.9887005649717514,0.4666666666666667,0.6340579710144928,0.016,246,4,400,350
95,l1,0.024027568846940992,0.8474560000000001,0.703,0.9557344064386318,0.6333333333333333,0.7618283881315157,0.088,228,22,275,475
97,l1,0.02579568997025489,0.8474560000000001,0.647,0.9714964370546318,0.5453333333333333,0.6985482493595218,0.048,238,12,341,409
99,l1,0.0296308545768261,0.8474560000000001,0.498,0.9806201550387597,0.3373333333333333,0.501984126984127,0.02,245,5,497,253
95,ssim_error,0.24571962356567376,0.7594613333333333,0.587,0.9160493827160494,0.49466666666666664,0.6424242424242425,0.136,216,34,379,371
97,ssim_error,0.27310461521148677,0.7594613333333333,0.491,0.9381818181818182,0.344,0.5034146341463415,0.068,233,17,492,258
99,ssim_error,0.31989480495452893,0.7594613333333333,0.361,0.937007874015748,0.15866666666666668,0.27137970353477764,0.032,242,8,631,119
95,mse_ssim_score,0.050160363316535936,0.7697493333333334,0.603,0.9212410501193318,0.5146666666666667,0.660393498716852,0.132,217,33,364,386
97,mse_ssim_score,0.055644157379865646,0.7697493333333334,0.513,0.9427609427609428,0.37333333333333335,0.5348615090735435,0.068,233,17,470,280
99,mse_ssim_score,0.06512850165367126,0.7697493333333334,0.377,0.950354609929078,0.17866666666666667,0.30078563411896747,0.028,243,7,616,134
95,retina_band_mse,0.0016747063258662814,0.9068373333333334,0.762,0.9830188679245283,0.6946666666666667,0.8140625,0.036,241,9,229,521
97,retina_band_mse,0.0019043843541294335,0.9068373333333334,0.709,0.9872611464968153,0.62,0.7616707616707616,0.024,244,6,285,465
99,retina_band_mse,0.0024243493285030144,0.9068373333333334,0.59,0.9885057471264368,0.45866666666666667,0.6265938069216758,0.016,246,4,406,344
95,retina_weighted_mse,0.001535656582564115,0.912256,0.774,0.9833948339483395,0.7106666666666667,0.8250773993808049,0.036,241,9,217,533
97,retina_weighted_mse,0.0017583276377990818,0.912256,0.721,0.9875776397515528,0.636,0.7737226277372263,0.024,244,6,273,477
99,retina_weighted_mse,0.0022261790279299045,0.912256,0.607,0.9863760217983651,0.4826666666666667,0.64816472694718,0.02,245,5,388,362
95,topk_mse_5,0.01496292445808649,0.9436746666666667,0.788,0.9873188405797102,0.7266666666666667,0.837173579109063,0.028,243,7,205,545
97,topk_mse_5,0.018016735762357662,0.9436746666666667,0.73,0.9938271604938271,0.644,0.7815533980582524,0.012,247,3,267,483
99,topk_mse_5,0.02479717552661896,0.9436746666666667,0.585,0.9941002949852508,0.4493333333333333,0.6189164370982553,0.008,248,2,413,337
95,topk_mse_10,0.00935912914574146,0.9361653333333334,0.784,0.9872262773722628,0.7213333333333334,0.8335901386748844,0.028,243,7,209,541
97,topk_mse_10,0.010891320295631885,0.9361653333333334,0.739,0.9919517102615694,0.6573333333333333,0.7906976744186046,0.016,246,4,257,493
99,topk_mse_10,0.014945832826197148,0.9361653333333334,0.607,0.9944598337950139,0.4786666666666667,0.6462646264626463,0.008,248,2,391,359
95,ensemble_mse_l1,2.0952452556604664,0.8899573333333334,0.745,0.9643527204502814,0.6853333333333333,0.8012470771628994,0.076,231,19,236,514
97,ensemble_mse_l1,2.566374951070489,0.8899573333333334,0.712,0.979253112033195,0.6293333333333333,0.7662337662337663,0.04,240,10,278,472
99,ensemble_mse_l1,3.884373055789534,0.8899573333333334,0.582,0.9911242603550295,0.44666666666666666,0.6158088235294118,0.012,247,3,415,335
95,ensemble_mse_l1_ssim,1.9409929317574366,0.871424,0.735,0.9566854990583804,0.6773333333333333,0.7931303669008587,0.092,227,23,242,508
97,ensemble_mse_l1_ssim,2.417505081920181,0.871424,0.684,0.9696969696969697,0.5973333333333334,0.7392739273927392,0.056,236,14,302,448
99,ensemble_mse_l1_ssim,3.4845179558750314,0.871424,0.556,0.9872611464968153,0.41333333333333333,0.5827067669172933,0.016,246,4,440,310
95,ensemble_mse_retina,2.044446307413992,0.9129973333333333,0.774,0.9816176470588235,0.712,0.8253477588871716,0.04,240,10,216,534
97,ensemble_mse_retina,2.6414742492145304,0.9129973333333333,0.73,0.9878048780487805,0.648,0.782608695652174,0.024,244,6,264,486
