patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
max,topk_mse_10,CNV+DME+DRUSEN,2,9,0.024604777805507183,0.009335812753479493,1,0.5
max,topk_mse_10,CNV+DME+NORMAL,1,5,0.01742403954267502,,0,0.0
max,topk_mse_10,CNV+DRUSEN,9,35,0.024546242422527738,0.00934996347296242,6,0.6666666666666666
max,topk_mse_10,CNV+DRUSEN+NORMAL,1,4,0.029936304315924644,,1,1.0
max,topk_mse_10,CNV+NORMAL,10,33,0.02265494503080845,0.01005272613106974,6,0.6
max,topk_mse_10,DME,145,198,0.02084294557571411,0.014369255141067063,60,0.41379310344827586
max,topk_mse_10,DME+DRUSEN,8,27,0.02447023766580969,0.019575357356940205,4,0.5
max,topk_mse_10,DME+NORMAL,6,26,0.025224548298865557,0.017995128509376936,4,0.6666666666666666
max,topk_mse_10,DRUSEN,145,211,0.010326791170920278,0.007676495971252021,11,0.07586206896551724
max,topk_mse_10,DRUSEN+NORMAL,4,15,0.008200008771382272,0.002410668991158455,0,0.0
max,topk_mse_10,NORMAL,149,206,0.005685505591607934,0.0025607095565533537,2,0.013422818791946308
max,ensemble_mse_l1,CNV,150,200,5.982500941437908,2.929405488312729,100,0.6666666666666666
max,ensemble_mse_l1,CNV+DME,5,31,8.602427210525699,4.692503862260239,3,0.6
max,ensemble_mse_l1,CNV+DME+DRUSEN,2,9,7.016649340953857,3.861559918986421,1,0.5
max,ensemble_mse_l1,CNV+DME+NORMAL,1,5,6.0939577307150365,,1,1.0
max,ensemble_mse_l1,CNV+DRUSEN,9,35,6.598481788220316,2.6979071198634177,8,0.8888888888888888
max,ensemble_mse_l1,CNV+DRUSEN+NORMAL,1,4,6.827865943829569,,1,1.0
max,ensemble_mse_l1,CNV+NORMAL,10,33,5.391985569242755,2.6914441075782563,6,0.6
max,ensemble_mse_l1,DME,145,198,5.347690492725257,4.049843336380365,71,0.4896551724137931
max,ensemble_mse_l1,DME+DRUSEN,8,27,5.999197519963318,4.412458182741507,5,0.625
