score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
topk_mse_5,0.01496292445808649,0.9436746666666667,0.788,0.9873188405797102,0.7266666666666667,0.837173579109063,0.028,243,7,205,545
topk_mse_10,0.00935912914574146,0.9361653333333334,0.784,0.9872262773722628,0.7213333333333334,0.8335901386748844,0.028,243,7,209,541
ensemble_mse_ssim_topk,2.059823000941131,0.913808,0.783,0.9750445632798574,0.7293333333333333,0.8344774980930587,0.056,236,14,203,547
ensemble_mse_retina,2.044446307413992,0.9129973333333333,0.774,0.9816176470588235,0.712,0.8253477588871716,0.04,240,10,216,534
retina_weighted_mse,0.001535656582564115,0.912256,0.774,0.9833948339483395,0.7106666666666667,0.8250773993808049,0.036,241,9,217,533
mse,0.0013368588639423242,0.9103786666666667,0.774,0.9763636363636363,0.716,0.8261538461538461,0.052,237,13,213,537
ensemble_all_base,1.9331603527128667,0.9086239999999999,0.776,0.9747292418772563,0.72,0.8282208588957055,0.056,236,14,210,540
retina_band_mse,0.0016747063258662814,0.9068373333333334,0.762,0.9830188679245283,0.6946666666666667,0.8140625,0.036,241,9,229,521
ensemble_mse_l1_retina,1.9255631568542602,0.9005546666666667,0.762,0.9705882352941176,0.704,0.8160741885625966,0.064,234,16,222,528
ensemble_l1_ssim_topk,1.8834541496196138,0.8991093333333333,0.769,0.9658886894075404,0.7173333333333334,0.8232593726090283,0.076,231,19,212,538
ensemble_mse_l1,2.0952452556604664,0.8899573333333334,0.745,0.9643527204502814,0.6853333333333333,0.8012470771628994,0.076,231,19,236,514
ensemble_mse_l1_ssim,1.9409929317574366,0.871424,0.735,0.9566854990583804,0.6773333333333333,0.7931303669008587,0.092,227,23,242,508
l1,0.024027568846940992,0.8474560000000001,0.703,0.9557344064386318,0.6333333333333333,0.7618283881315157,0.088,228,22,275,475
mse_ssim_score,0.050160363316535936,0.7697493333333334,0.603,0.9212410501193318,0.5146666666666667,0.660393498716852,0.132,217,33,364,386
ssim_error,0.24571962356567376,0.7594613333333333,0.587,0.9160493827160494,0.49466666666666664,0.6424242424242425,0.136,216,34,379,371
