run_id,score_mode,class_name,sample_count,patient_count,mean_score,std_score,detected_count,detection_rate
ae_mse_l128_e60,mse,DRUSEN,250,169,0.0012671170076355,0.0006497893887258,84,0.336
ae_mse_l128_e60,mse,NORMAL,250,171,0.0008245673192432,0.0002848907034292,14,0.056
ae_mse_l128_e60,l1,CNV,250,178,0.0308601805493235,0.0063132203316185,227,0.908
ae_mse_l128_e60,l1,DME,250,167,0.0294103937223553,0.0078106630024149,186,0.744
ae_mse_l128_e60,l1,DRUSEN,250,169,0.0218443857096135,0.0041107925719004,67,0.268
ae_mse_l128_e60,l1,NORMAL,250,171,0.019485377587378,0.0035696865247076,23,0.092
ae_mse_l128_e60,ssim_error,CNV,250,178,0.2778514292240143,0.0663978877462996,174,0.696
ae_mse_l128_e60,ssim_error,DME,250,167,0.2626341218948364,0.0686494907473438,147,0.588
ae_mse_l128_e60,ssim_error,DRUSEN,250,169,0.2057801568508148,0.0565942098166705,59,0.236
ae_mse_l128_e60,ssim_error,NORMAL,250,171,0.1881004636287689,0.0576056781154893,34,0.136
ae_mse_l128_e60,mse_ssim_score,CNV,250,178,0.0578405670970678,0.0139132533307767,180,0.72
ae_mse_l128_e60,mse_ssim_score,DME,250,167,0.0545787995383143,0.0146594939578501,151,0.604
ae_mse_l128_e60,mse_ssim_score,DRUSEN,250,169,0.0421697255969047,0.0115552779591609,62,0.248
ae_mse_l128_e60,mse_ssim_score,NORMAL,250,171,0.038279747210443,0.0116998877648169,34,0.136
ae_mse_l128_e60,retina_band_mse,CNV,250,178,0.0032765981713309,0.0012680450068219,241,0.964
ae_mse_l128_e60,retina_band_mse,DME,250,167,0.0030239176675677,0.0018797762574288,203,0.812
ae_mse_l128_e60,retina_band_mse,DRUSEN,250,169,0.0015421741092577,0.0008555752965812,82,0.328
ae_mse_l128_e60,retina_band_mse,NORMAL,250,171,0.0009950601680902,0.0003460237045511,9,0.036
ae_mse_l128_e60,retina_weighted_mse,CNV,250,178,0.0031338755208998,0.0012187088623202,244,0.976
ae_mse_l128_e60,retina_weighted_mse,DME,250,167,0.0028720685003791,0.0017672709732927,205,0.82
ae_mse_l128_e60,retina_weighted_mse,DRUSEN,250,169,0.0014495537532493,0.000777088817106,91,0.364
ae_mse_l128_e60,retina_weighted_mse,NORMAL,250,171,0.0009343064154963,0.0003141705227714,13,0.052
ae_mse_l128_e60,topk_mse_5,CNV,250,178,0.034875466927886,0.0157231498792583,247,0.988
ae_mse_l128_e60,topk_mse_5,DME,250,167,0.0308290939480066,0.0215640889462417,212,0.848
ae_mse_l128_e60,topk_mse_5,DRUSEN,250,169,0.0148751745540648,0.0098513698488402,95,0.38
ae_mse_l128_e60,topk_mse_5,NORMAL,250,171,0.0079529424645006,0.0029335916373255,5,0.02
ae_mse_l128_e60,topk_mse_10,CNV,250,178,0.0216699632778763,0.0093268480316551,247,0.988
ae_mse_l128_e60,topk_mse_10,DME,250,167,0.0193035195246338,0.0129072113417082,215,0.86
ae_mse_l128_e60,topk_mse_10,DRUSEN,250,169,0.0091136828977614,0.0055944307782754,95,0.38
ae_mse_l128_e60,topk_mse_10,NORMAL,250,171,0.0052159032998606,0.0017767352267065,9,0.036
ae_mse_l128_e60,ensemble_mse_l1,CNV,250,178,5.79518896044613,2.8371426878001227,242,0.968
ae_mse_l128_e60,ensemble_mse_l1,DME,250,167,5.128868033507239,3.7630278711644713,205,0.82
ae_mse_l128_e60,ensemble_mse_l1,DRUSEN,250,169,1.8795239610649972,1.5972648718303624,82,0.328
ae_mse_l128_e60,ensemble_mse_l1,NORMAL,250,171,0.7979783460614917,0.9200215321041426,21,0.084
ae_mse_l128_e60,ensemble_mse_l1_ssim,CNV,250,178,4.660698808456695,2.1521043062669447,235,0.94
ae_mse_l128_e60,ensemble_mse_l1_ssim,DME,250,167,4.138027148363271,2.7880791875316437,199,0.796
ae_mse_l128_e60,ensemble_mse_l1_ssim,DRUSEN,250,169,1.6786689143629472,1.2578191537176393,79,0.316
ae_mse_l128_e60,ensemble_mse_l1_ssim,NORMAL,250,171,0.8664851752927515,0.8861352273513204,21,0.084
ae_mse_l128_e60,ensemble_mse_retina,CNV,250,178,6.966583062629296,3.601372924783186,245,0.98
ae_mse_l128_e60,ensemble_mse_retina,DME,250,167,6.166746372710321,5.096573336540125,206,0.824
ae_mse_l128_e60,ensemble_mse_retina,DRUSEN,250,169,2.022470360709866,2.178960014724249,93,0.372
ae_mse_l128_e60,ensemble_mse_retina,NORMAL,250,171,0.5584658385507707,0.8986222839023548,16,0.064
ae_mse_l128_e60,ensemble_mse_ssim_topk,CNV,250,178,6.621738808823719,3.349868580392428,245,0.98
ae_mse_l128_e60,ensemble_mse_ssim_topk,DME,250,167,5.7614986971232245,4.539979515788732,211,0.844
ae_mse_l128_e60,ensemble_mse_ssim_topk,DRUSEN,250,169,2.1187766372567043,1.97787559057782,93,0.372
ae_mse_l128_e60,ensemble_mse_ssim_topk,NORMAL,250,171,0.7194376636574903,0.8485230174786932,14,0.056
ae_mse_l128_e60,ensemble_l1_ssim_topk,CNV,250,178,5.141450126101332,2.3738063013184028,244,0.976
ae_mse_l128_e60,ensemble_l1_ssim_topk,DME,250,167,4.494077957419827,3.191095712121341,209,0.836
ae_mse_l128_e60,ensemble_l1_ssim_topk,DRUSEN,250,169,1.8102589883402735,1.471558311404246,91,0.364
ae_mse_l128_e60,ensemble_l1_ssim_topk,NORMAL,250,171,0.7555177641532351,0.7745677240097243,21,0.084
ae_mse_l128_e60,ensemble_mse_l1_retina,CNV,250,178,5.83597402054038,2.853760783475892,243,0.972
ae_mse_l128_e60,ensemble_mse_l1_retina,DME,250,167,5.187076556457595,3.975447483407676,205,0.82
ae_mse_l128_e60,ensemble_mse_l1_retina,DRUSEN,250,169,1.820562736370028,1.7173429531719513,87,0.348
ae_mse_l128_e60,ensemble_mse_l1_retina,NORMAL,250,171,0.6563433913022167,0.8548601193055805,19,0.076
ae_mse_l128_e60,ensemble_all_base,CNV,250,178,6.001190194785913,2.917318532180845,245,0.98
ae_mse_l128_e60,ensemble_all_base,DME,250,167,5.274544658152704,4.049180808461292,209,0.836
ae_mse_l128_e60,ensemble_all_base,DRUSEN,250,169,1.9188212437582823,1.784223908783207,96,0.384
ae_mse_l128_e60,ensemble_all_base,NORMAL,250,171,0.6735248531563308,0.8135331618434971,19,0.076
ae_mse_l128_e60_plateau,mse,CNV,250,178,0.0027706282073631,0.0011802230329725,246,0.984
ae_mse_l128_e60_plateau,mse,DME,250,167,0.0024972590121906,0.0015553475069945,208,0.832
ae_mse_l128_e60_plateau,mse,DRUSEN,250,169,0.0012249035981949,0.0006335326788374,92,0.368
ae_mse_l128_e60_plateau,mse,NORMAL,250,171,0.0007938668088754,0.0002759734561674,17,0.068
ae_mse_l128_e60_plateau,l1,CNV,250,178,0.0305950702950358,0.0062453346940987,228,0.912
ae_mse_l128_e60_plateau,l1,DME,250,167,0.0291325746849179,0.007824363738415,187,0.748
ae_mse_l128_e60_plateau,l1,DRUSEN,250,169,0.0215668951943516,0.0040350520635188,71,0.284
ae_mse_l128_e60_plateau,l1,NORMAL,250,171,0.0192494063749909,0.0035361550292056,22,0.088
ae_mse_l128_e60_plateau,ssim_error,CNV,250,178,0.2765004637241363,0.0662493101652912,176,0.704
ae_mse_l128_e60_plateau,ssim_error,DME,250,167,0.2611029510498047,0.0691426122861709,146,0.584
