run_id,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
ae_mse_l128,topk_mse_5,0.0149629244580864,0.9436746666666668,0.788,0.9873188405797102,0.7266666666666667,0.837173579109063,0.028,243,7,205,545
ae_mse_l128,topk_mse_10,0.0093591291457414,0.9361653333333334,0.784,0.9872262773722628,0.7213333333333334,0.8335901386748844,0.028,243,7,209,541
ae_mse_l128,ensemble_mse_ssim_topk,2.059823000941131,0.913808,0.783,0.9750445632798574,0.7293333333333333,0.8344774980930587,0.056,236,14,203,547
ae_mse_l128,ensemble_mse_retina,2.044446307413992,0.9129973333333332,0.774,0.9816176470588236,0.712,0.8253477588871716,0.04,240,10,216,534
ae_mse_l128,retina_weighted_mse,0.0015356565825641,0.912256,0.774,0.9833948339483396,0.7106666666666667,0.8250773993808049,0.036,241,9,217,533
ae_mse_l128,mse,0.0013368588639423,0.9103786666666668,0.774,0.9763636363636364,0.716,0.8261538461538461,0.052,237,13,213,537
ae_mse_l128,ensemble_all_base,1.933160352712867,0.908624,0.776,0.9747292418772564,0.72,0.8282208588957055,0.056,236,14,210,540
ae_mse_l128,retina_band_mse,0.0016747063258662,0.9068373333333334,0.762,0.9830188679245284,0.6946666666666667,0.8140625,0.036,241,9,229,521
ae_mse_l128,ensemble_mse_l1_retina,1.92556315685426,0.9005546666666667,0.762,0.9705882352941176,0.704,0.8160741885625966,0.064,234,16,222,528
ae_mse_l128,ensemble_l1_ssim_topk,1.8834541496196135,0.8991093333333333,0.769,0.9658886894075404,0.7173333333333334,0.8232593726090283,0.076,231,19,212,538
ae_mse_l128,ensemble_mse_l1,2.0952452556604664,0.8899573333333334,0.745,0.9643527204502814,0.6853333333333333,0.8012470771628994,0.076,231,19,236,514
ae_mse_l128,ensemble_mse_l1_ssim,1.9409929317574368,0.871424,0.735,0.9566854990583804,0.6773333333333333,0.7931303669008587,0.092,227,23,242,508
ae_mse_l128,l1,0.0240275688469409,0.8474560000000001,0.703,0.9557344064386318,0.6333333333333333,0.7618283881315157,0.088,228,22,275,475
ae_mse_l128,mse_ssim_score,0.0501603633165359,0.7697493333333334,0.603,0.9212410501193318,0.5146666666666667,0.660393498716852,0.132,217,33,364,386
ae_mse_l128,ssim_error,0.2457196235656737,0.7594613333333333,0.587,0.9160493827160494,0.4946666666666666,0.6424242424242425,0.136,216,34,379,371
ae_mse_l128_e60,topk_mse_5,0.01418669950217,0.945712,0.799,0.9910554561717352,0.7386666666666667,0.8464476699770818,0.02,245,5,196,554
ae_mse_l128_e60,topk_mse_10,0.0088164035230875,0.9371333333333334,0.798,0.9840989399293286,0.7426666666666667,0.8465045592705167,0.036,241,9,193,557
ae_mse_l128_e60,ensemble_mse_ssim_topk,2.06098112839262,0.915872,0.785,0.9751332149200712,0.732,0.8362528560548362,0.056,236,14,201,549
ae_mse_l128_e60,ensemble_mse_retina,2.029400431033091,0.9142026666666668,0.778,0.9714285714285714,0.7253333333333334,0.8305343511450382,0.064,234,16,206,544
ae_mse_l128_e60,retina_weighted_mse,0.0014560784911736,0.9134026666666668,0.777,0.976491862567812,0.72,0.8288564850345357,0.052,237,13,210,540
ae_mse_l128_e60,mse,0.0012786962324753,0.911216,0.771,0.9744990892531876,0.7133333333333334,0.8237105465742879,0.056,236,14,215,535
ae_mse_l128_e60,ensemble_all_base,1.907416016649288,0.910432,0.781,0.9666080843585236,0.7333333333333333,0.8339651250947687,0.076,231,19,200,550
ae_mse_l128_e60,retina_band_mse,0.0015962278936058,0.9087573333333332,0.767,0.983177570093458,0.7013333333333334,0.8186770428015564,0.036,241,9,224,526
ae_mse_l128_e60,ensemble_l1_ssim_topk,1.8590802745809103,0.9019733333333334,0.773,0.9628318584070796,0.7253333333333334,0.8273764258555133,0.084,229,21,206,544
ae_mse_l128_e60,ensemble_mse_l1_retina,1.9149782135994229,0.9017226666666668,0.766,0.9657039711191336,0.7133333333333334,0.8205521472392638,0.076,231,19,215,535
ae_mse_l128_e60,ensemble_mse_l1,2.0572965418700413,0.8910399999999998,0.758,0.9618181818181818,0.7053333333333334,0.8138461538461539,0.084,229,21,221,529
ae_mse_l128_e60,ensemble_mse_l1_ssim,1.9466688712356888,0.8729226666666667,0.742,0.9606741573033708,0.684,0.7990654205607477,0.084,229,21,237,513
ae_mse_l128_e60,l1,0.0236489698290824,0.847216,0.707,0.9542743538767396,0.64,0.7661612130885874,0.092,227,23,270,480
ae_mse_l128_e60,mse_ssim_score,0.0495889581739902,0.7698506666666667,0.609,0.9203747072599532,0.524,0.6677994902293968,0.136,216,34,357,393
ae_mse_l128_e60,ssim_error,0.2433544874191283,0.7603093333333333,0.596,0.9178743961352656,0.5066666666666667,0.6529209621993127,0.136,216,34,370,380
ae_mse_l128_e60_plateau,topk_mse_5,0.0131627809256315,0.9473653333333334,0.804,0.9859649122807016,0.7493333333333333,0.8515151515151516,0.032,242,8,188,562
ae_mse_l128_e60_plateau,topk_mse_10,0.008324839733541,0.9388213333333334,0.802,0.9825174825174824,0.7493333333333333,0.8502269288956127,0.04,240,10,188,562
ae_mse_l128_e60_plateau,ensemble_mse_ssim_topk,2.0281386889840105,0.9167679999999998,0.794,0.9705882352941176,0.748,0.8448795180722891,0.068,233,17,189,561
ae_mse_l128_e60_plateau,ensemble_mse_retina,2.019360857253212,0.9146506666666668,0.785,0.9751332149200712,0.732,0.8362528560548362,0.056,236,14,201,549
ae_mse_l128_e60_plateau,retina_weighted_mse,0.00139718092978,0.913872,0.782,0.9767025089605734,0.7266666666666667,0.8333333333333334,0.052,237,13,205,545
ae_mse_l128_e60_plateau,mse,0.0012128856964409,0.9117973333333332,0.779,0.9698046181172292,0.728,0.8316831683168316,0.068,233,17,204,546
ae_mse_l128_e60_plateau,ensemble_all_base,1.911497485255919,0.9114186666666666,0.787,0.9685863874345548,0.74,0.8390022675736961,0.072,232,18,195,555
ae_mse_l128_e60_plateau,retina_band_mse,0.001530090579763,0.9087626666666666,0.773,0.979816513761468,0.712,0.8247104247104247,0.044,239,11,216,534
ae_mse_l128_e60_plateau,ensemble_l1_ssim_topk,1.8507691392838503,0.903872,0.776,0.9630281690140844,0.7293333333333333,0.8300455235204856,0.084,229,21,203,547
ae_mse_l128_e60_plateau,ensemble_mse_l1_retina,1.9260274252065284,0.902336,0.775,0.9679144385026738,0.724,0.8283752860411899,0.072,232,18,207,543
ae_mse_l128_e60_plateau,ensemble_mse_l1,2.0565561376071684,0.8922773333333334,0.76,0.9619565217391304,0.708,0.815668202764977,0.084,229,21,219,531
ae_mse_l128_e60_plateau,ensemble_mse_l1_ssim,1.952388897190434,0.8734666666666667,0.745,0.9591836734693876,0.6893333333333334,0.8021722265321956,0.088,228,22,233,517
ae_mse_l128_e60_plateau,l1,0.0232879884541034,0.848208,0.714,0.9566929133858268,0.648,0.7726550079491256,0.088,228,22,264,486
ae_mse_l128_e60_plateau,mse_ssim_score,0.0492115467786788,0.7692906666666667,0.608,0.9182242990654206,0.524,0.66723259762309,0.14,215,35,357,393
ae_mse_l128_e60_plateau,ssim_error,0.2414538502693175,0.759584,0.594,0.9154589371980676,0.5053333333333333,0.6512027491408935,0.14,215,35,371,379
ae_mse_l128_e60_plateau_bn,topk_mse_5,0.0126955481246113,0.948736,0.813,0.9861830742659758,0.7613333333333333,0.8592927012791572,0.032,242,8,179,571
ae_mse_l128_e60_plateau_bn,topk_mse_10,0.0079879213124513,0.9395306666666668,0.809,0.9810671256454389,0.76,0.8564988730277987,0.044,239,11,180,570
ae_mse_l128_e60_plateau_bn,ensemble_mse_ssim_topk,2.041698968085975,0.917504,0.802,0.9693877551020408,0.76,0.852017937219731,0.072,232,18,180,570
ae_mse_l128_e60_plateau_bn,ensemble_mse_retina,2.0228410390861224,0.915392,0.793,0.9738219895287958,0.744,0.8435374149659864,0.06,235,15,192,558
ae_mse_l128_e60_plateau_bn,retina_weighted_mse,0.0013444253476336,0.9152,0.794,0.9738675958188152,0.7453333333333333,0.8444108761329305,0.06,235,15,191,559
ae_mse_l128_e60_plateau_bn,mse,0.0011832378804683,0.9126986666666668,0.786,0.9668989547038328,0.74,0.8383685800604229,0.076,231,19,195,555
ae_mse_l128_e60_plateau_bn,ensemble_all_base,1.915802277138844,0.9120586666666666,0.8,0.969283276450512,0.7573333333333333,0.8502994011976048,0.072,232,18,182,568
ae_mse_l128_e60_plateau_bn,retina_band_mse,0.0014645259128883,0.9105493333333332,0.781,0.9783783783783784,0.724,0.832183908045977,0.048,238,12,207,543
ae_mse_l128_e60_plateau_bn,ensemble_l1_ssim_topk,1.853693677288432,0.9042453333333332,0.785,0.9620034542314336,0.7426666666666667,0.8382242287434161,0.088,228,22,193,557
ae_mse_l128_e60_plateau_bn,ensemble_mse_l1_retina,1.9229107429416656,0.9033546666666666,0.78,0.9681978798586572,0.7306666666666667,0.8328267477203647,0.072,232,18,202,548
ae_mse_l128_e60_plateau_bn,ensemble_mse_l1,2.061536003835186,0.8926613333333334,0.763,0.9605026929982048,0.7133333333333334,0.8186687069625096,0.088,228,22,215,535
ae_mse_l128_e60_plateau_bn,ensemble_mse_l1_ssim,1.9428709084292897,0.8738879999999999,0.742,0.9538745387453874,0.6893333333333334,0.8003095975232198,0.1,225,25,233,517
ae_mse_l128_e60_plateau_bn,l1,0.0230581931769847,0.848544,0.709,0.949119373776908,0.6466666666666666,0.7692307692307693,0.104,224,26,265,485
ae_mse_l128_e60_plateau_bn,mse_ssim_score,0.0489889755845069,0.768856,0.605,0.9176470588235294,0.52,0.6638297872340425,0.14,215,35,360,390
ae_mse_l128_e60_plateau_bn,ssim_error,0.2404999375343322,0.7592266666666667,0.594,0.9134615384615384,0.5066666666666667,0.6518010291595198,0.144,214,36,370,380
ae_mse_l128_i256_e40_plateau_bn_bs32,topk_mse_5,0.0238535623997449,0.9204106666666666,0.728,0.9799196787148594,0.6506666666666666,0.782051282051282,0.04,240,10,262,488
ae_mse_l128_i256_e40_plateau_bn_bs32,topk_mse_10,0.0151793573051691,0.9051946666666666,0.722,0.972,0.648,0.7776,0.056,236,14,264,486
ae_mse_l128_i256_e40_plateau_bn_bs32,ensemble_mse_ssim_topk,2.1092438410674808,0.8799093333333334,0.719,0.9662027833001988,0.648,0.7757382282521947,0.068,233,17,264,486
ae_mse_l128_i256_e40_plateau_bn_bs32,ensemble_all_base,1.9731444941485927,0.871888,0.711,0.9582504970178928,0.6426666666666667,0.7693535514764565,0.084,229,21,268,482
ae_mse_l128_i256_e40_plateau_bn_bs32,retina_weighted_mse,0.0026117329485714,0.8718826666666666,0.709,0.9655172413793104,0.6346666666666667,0.7658889782783588,0.068,233,17,274,476
ae_mse_l128_i256_e40_plateau_bn_bs32,ensemble_mse_retina,2.129492018177837,0.8701813333333334,0.708,0.9598393574297188,0.6373333333333333,0.7660256410256411,0.08,230,20,272,478
ae_mse_l128_i256_e40_plateau_bn_bs32,retina_band_mse,0.0027626399882137,0.8686933333333333,0.706,0.9653061224489796,0.6306666666666667,0.7629032258064516,0.068,233,17,277,473
ae_mse_l128_i256_e40_plateau_bn_bs32,ensemble_l1_ssim_topk,1.862799050219215,0.8665013333333333,0.707,0.959758551307847,0.636,0.7650360866078588,0.08,230,20,273,477
ae_mse_l128_i256_e40_plateau_bn_bs32,mse,0.0023821683600544,0.861872,0.695,0.9550102249488752,0.6226666666666667,0.7538337368845843,0.088,228,22,283,467
ae_mse_l128_i256_e40_plateau_bn_bs32,ensemble_mse_l1_retina,1.982209450701413,0.8533813333333333,0.687,0.9486652977412732,0.616,0.7469684721099434,0.1,225,25,288,462
ae_mse_l128_i256_e40_plateau_bn_bs32,ensemble_mse_l1,2.1230734785688274,0.8351839999999999,0.67,0.9506437768240344,0.5906666666666667,0.7286184210526315,0.092,227,23,307,443
ae_mse_l128_i256_e40_plateau_bn_bs32,ensemble_mse_l1_ssim,1.88977425909323,0.8122986666666666,0.658,0.9434782608695652,0.5786666666666667,0.7173553719008264,0.104,224,26,316,434
ae_mse_l128_i256_e40_plateau_bn_bs32,l1,0.0338418826460838,0.7762186666666667,0.608,0.924170616113744,0.52,0.6655290102389079,0.128,218,32,360,390
ae_mse_l128_i256_e40_plateau_bn_bs32,mse_ssim_score,0.0901870742440223,0.6738879999999999,0.503,0.8753709198813057,0.3933333333333333,0.5427782888684453,0.168,208,42,455,295
ae_mse_l128_i256_e40_plateau_bn_bs32,ssim_error,0.4429769515991211,0.6604906666666666,0.481,0.8620689655172413,0.3666666666666666,0.5144995322731525,0.176,206,44,475,275
ae_mse_l256,topk_mse_5,0.0143076617270708,0.9437386666666668,0.784,0.9872262773722628,0.7213333333333334,0.8335901386748844,0.028,243,7,209,541
ae_mse_l256,topk_mse_10,0.0089252106845378,0.9355626666666664,0.784,0.9836956521739132,0.724,0.8341013824884793,0.036,241,9,207,543
ae_mse_l256,ensemble_all_base,2.1704586526275502,0.9206613333333332,0.786,0.9785714285714284,0.7306666666666667,0.8366412213740458,0.048,238,12,202,548
ae_mse_l256,ensemble_mse_retina,2.090930155584952,0.9115306666666668,0.773,0.9780621572212066,0.7133333333333334,0.8249807247494217,0.048,238,12,215,535
ae_mse_l256,retina_weighted_mse,0.0014633822720497,0.9104640000000002,0.776,0.9816849816849816,0.7146666666666667,0.8271604938271605,0.04,240,10,214,536
ae_mse_l256,mse,0.001276518497616,0.9092693333333332,0.776,0.9781818181818182,0.7173333333333334,0.8276923076923077,0.048,238,12,212,538
ae_mse_l256,retina_band_mse,0.0015872456599026,0.90528,0.762,0.9830188679245284,0.6946666666666667,0.8140625,0.036,241,9,229,521
ae_mse_l256,ensemble_mse_l1_retina,1.9466484684469876,0.8992853333333335,0.768,0.9692028985507246,0.7133333333333334,0.8218125960061444,0.068,233,17,215,535
ae_mse_l256,ensemble_mse_l1,2.117294929873688,0.8889706666666668,0.751,0.9664804469273744,0.692,0.8065268065268065,0.072,232,18,231,519
ae_mse_l256,l1,0.0235777482390403,0.8448640000000001,0.697,0.9496981891348087,0.6293333333333333,0.7570168404170008,0.1,225,25,278,472
ae_mse_l256_bs16,topk_mse_5,0.0148035565391182,0.9453973333333332,0.786,0.9872727272727272,0.724,0.8353846153846154,0.028,243,7,207,543
ae_mse_l256_bs16,topk_mse_10,0.0091232238337397,0.936576,0.788,0.9855595667870036,0.728,0.8374233128834356,0.032,242,8,204,546
ae_mse_l256_bs16,ensemble_all_base,2.128214920342922,0.9208426666666668,0.783,0.9801801801801802,0.7253333333333334,0.8337164750957854,0.044,239,11,206,544
ae_mse_l256_bs16,ensemble_mse_retina,2.075063548322764,0.9120586666666668,0.782,0.9818840579710144,0.7226666666666667,0.8325652841781874,0.04,240,10,208,542
ae_mse_l256_bs16,retina_weighted_mse,0.0015078126685693,0.9109546666666666,0.778,0.9817518248175182,0.7173333333333334,0.8289676425269645,0.04,240,10,212,538
