run_id,patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
ae_mse_l128,mean,topk_mse_5,0.0121692446215699,0.9459082497859528,0.8472440944881889,0.9709443099273608,0.8251028806584362,0.8921023359288098,0.0805369127516778,137,12,85,401
ae_mse_l128,top2_mean,topk_mse_5,0.0266101001296192,0.94467920567846,0.5590551181102362,0.9904761904761904,0.4279835390946502,0.5977011494252874,0.0134228187919463,147,2,278,208
ae_mse_l128,max,topk_mse_5,0.0313461119309067,0.942303974369597,0.5133858267716536,0.988950276243094,0.3683127572016461,0.5367316341829086,0.0134228187919463,147,2,307,179
ae_mse_l128,mean,topk_mse_10,0.0077201390464324,0.9381749385477944,0.84251968503937,0.9707317073170731,0.8189300411522634,0.8883928571428571,0.0805369127516778,137,12,88,398
ae_mse_l128,top2_mean,topk_mse_10,0.015545769361779,0.9367525616593476,0.5952755905511811,0.9914163090128756,0.4753086419753086,0.6425591098748261,0.0134228187919463,147,2,255,231
ae_mse_l128,max,topk_mse_10,0.0184610083699226,0.9352197088960698,0.5401574803149606,0.98989898989899,0.4032921810699588,0.5730994152046783,0.0134228187919463,147,2,290,196
ae_mse_l128,mean,ensemble_mse_ssim_topk,1.4414609228868014,0.9179164250006904,0.8393700787401575,0.9549763033175356,0.8292181069958847,0.8876651982378855,0.1275167785234899,130,19,83,403
ae_mse_l128,mean,ensemble_mse_retina,1.3609919429117834,0.9171569033612283,0.8377952755905512,0.9636803874092008,0.8189300411522634,0.8854282536151279,0.1006711409395973,134,15,88,398
ae_mse_l128,top2_mean,ensemble_mse_ssim_topk,4.034621525998593,0.9169221421272132,0.6125984251968504,0.9918032786885246,0.4979423868312757,0.663013698630137,0.0134228187919463,147,2,244,242
ae_mse_l128,mean,retina_weighted_mse,0.001262543873745,0.9164111912061204,0.8393700787401575,0.9593301435406698,0.8251028806584362,0.8871681415929203,0.1140939597315436,132,17,85,401
ae_mse_l128,top2_mean,ensemble_mse_retina,4.199105957812402,0.9162040489408124,0.6110236220472441,0.9877551020408164,0.4979423868312757,0.6621067031463749,0.0201342281879194,146,3,244,242
ae_mse_l128,top2_mean,retina_weighted_mse,0.0023048276780173,0.9157207169884276,0.6125984251968504,0.9878048780487804,0.5,0.6639344262295082,0.0201342281879194,146,3,243,243
ae_mse_l128,mean,mse,0.0011169614940927,0.913884055569365,0.8283464566929134,0.9520383693045564,0.8168724279835391,0.8792912513842747,0.1342281879194631,129,20,89,397
ae_mse_l128,max,retina_weighted_mse,0.0026512215146794,0.9137321512414728,0.5669291338582677,0.9953051643192488,0.4362139917695473,0.6065808297567954,0.0067114093959731,148,1,274,212
ae_mse_l128,mean,ensemble_all_base,1.3016140267941072,0.9136216753666416,0.8503937007874016,0.9557109557109555,0.8436213991769548,0.8961748633879781,0.1275167785234899,130,19,76,410
ae_mse_l128,max,ensemble_mse_retina,5.193217404725841,0.913414533101334,0.5669291338582677,0.9953051643192488,0.4362139917695473,0.6065808297567954,0.0067114093959731,148,1,274,212
ae_mse_l128,max,ensemble_mse_ssim_topk,5.287747857078585,0.9132902477421492,0.5448818897637795,0.9900497512437813,0.4094650205761317,0.5793304221251819,0.0134228187919463,147,2,287,199
ae_mse_l128,top2_mean,ensemble_all_base,3.7769732418081543,0.9127102493992874,0.6062992125984252,0.987603305785124,0.4917695473251028,0.6565934065934066,0.0201342281879194,146,3,247,239
ae_mse_l128,top2_mean,mse,0.0020331262028776,0.912572154555749,0.6125984251968504,0.9878048780487804,0.5,0.6639344262295082,0.0201342281879194,146,3,243,243
ae_mse_l128,mean,retina_band_mse,0.0013610864634941,0.911619300135333,0.8377952755905512,0.9592326139088728,0.823045267489712,0.8859357696566998,0.1140939597315436,132,17,86,400
ae_mse_l128,top2_mean,retina_band_mse,0.0024808112706523,0.9112050156047172,0.5984251968503937,0.9914893617021276,0.4794238683127572,0.6463245492371706,0.0134228187919463,147,2,253,233
ae_mse_l128,max,mse,0.0024034739937633,0.9091888308890548,0.5480314960629922,0.9901477832512317,0.4135802469135802,0.5834542815674891,0.0134228187919463,147,2,285,201
ae_mse_l128,max,retina_band_mse,0.0029432462761178,0.9091750214047007,0.537007874015748,0.9897959183673468,0.3991769547325103,0.5689149560117303,0.0134228187919463,147,2,292,194
ae_mse_l128,max,ensemble_all_base,4.542585430744114,0.9090369265611622,0.5716535433070866,0.9908256880733946,0.4444444444444444,0.6136363636363636,0.0134228187919463,147,2,270,216
ae_mse_l128,mean,ensemble_mse_l1_retina,1.3053810451088743,0.9055845554726988,0.8330708661417323,0.9523809523809524,0.823045267489712,0.8830022075055187,0.1342281879194631,129,20,86,400
ae_mse_l128,mean,ensemble_l1_ssim_topk,1.2900673799656464,0.9053636037230368,0.8440944881889764,0.9468822170900691,0.8436213991769548,0.8922742110990207,0.1543624161073825,126,23,76,410
ae_mse_l128,top2_mean,ensemble_mse_l1_retina,3.873190339687599,0.9049078907393596,0.5826771653543307,0.986784140969163,0.4609053497942387,0.6283309957924264,0.0201342281879194,146,3,262,224
ae_mse_l128,top2_mean,ensemble_l1_ssim_topk,3.571999205239402,0.9042864639434364,0.5763779527559055,0.9822222222222222,0.4547325102880658,0.6216596343178622,0.0268456375838926,145,4,265,221
ae_mse_l128,max,ensemble_mse_l1_retina,4.337622109826597,0.9014969481039578,0.5795275590551181,0.9910313901345292,0.4547325102880658,0.6234132581100141,0.0134228187919463,147,2,265,221
ae_mse_l128,max,ensemble_l1_ssim_topk,3.9746853151567656,0.8993564780291103,0.5716535433070866,0.9863636363636364,0.4465020576131687,0.6147308781869688,0.0201342281879194,146,3,269,217
ae_mse_l128,mean,ensemble_mse_l1,1.4056338185708204,0.8959041069406469,0.8283464566929134,0.9414519906323184,0.8271604938271605,0.8806133625410734,0.1677852348993288,124,25,84,402
ae_mse_l128,top2_mean,ensemble_mse_l1,4.100133019280445,0.8950341094263541,0.5606299212598426,0.9859154929577464,0.4320987654320987,0.6008583690987125,0.0201342281879194,146,3,276,210
ae_mse_l128,max,ensemble_mse_l1,4.492557541588286,0.8902836468086281,0.5669291338582677,0.9906976744186048,0.4382716049382716,0.6077032810271041,0.0134228187919463,147,2,273,213
ae_mse_l128,mean,ensemble_mse_l1_ssim,1.3454471380526738,0.8813351009473306,0.8110236220472441,0.9295774647887324,0.8148148148148148,0.868421052631579,0.2013422818791946,119,30,90,396
ae_mse_l128,top2_mean,ensemble_mse_l1_ssim,3.716388652524616,0.8804651034330379,0.5275590551181102,0.9894736842105264,0.3868312757201646,0.5562130177514792,0.0134228187919463,147,2,298,188
ae_mse_l128,max,ensemble_mse_l1_ssim,4.052686765772839,0.874388930317342,0.5322834645669291,0.9896373056994818,0.3930041152263374,0.5625920471281296,0.0134228187919463,147,2,295,191
ae_mse_l128,mean,l1,0.0214937422292049,0.8597370674179026,0.7826771653543307,0.910377358490566,0.7942386831275721,0.8483516483516483,0.2550335570469799,111,38,100,386
ae_mse_l128,top2_mean,l1,0.0307149853557348,0.85940563979341,0.474015748031496,0.9871794871794872,0.3168724279835391,0.4797507788161994,0.0134228187919463,147,2,332,154
ae_mse_l128,max,l1,0.0316455412656068,0.8518656613362057,0.4803149606299212,0.9875,0.3251028806584362,0.4891640866873065,0.0134228187919463,147,2,328,158
ae_mse_l128,top2_mean,mse_ssim_score,0.0662842901423573,0.796793437733035,0.368503937007874,0.956989247311828,0.1831275720164609,0.307426597582038,0.0268456375838926,145,4,397,89
ae_mse_l128,mean,mse_ssim_score,0.0421672787310348,0.7963239152650039,0.7464566929133858,0.9012345679012346,0.7510288065843621,0.819304152637486,0.2684563758389262,109,40,121,365
ae_mse_l128,max,mse_ssim_score,0.0703488104045391,0.7885077471207225,0.3385826771653543,0.9342105263157896,0.1460905349794238,0.2526690391459075,0.0335570469798657,144,5,415,71
ae_mse_l128,top2_mean,ssim_error,0.3236772060394287,0.7884525091833071,0.3590551181102362,0.9540229885057472,0.1707818930041152,0.2897033158813263,0.0268456375838926,145,4,403,83
ae_mse_l128,mean,ssim_error,0.2072547179002026,0.7876377496064297,0.7307086614173228,0.8967254408060453,0.7325102880658436,0.8063420158550396,0.2751677852348993,108,41,130,356
ae_mse_l128,max,ssim_error,0.3426358938217163,0.7795315822907172,0.3338582677165354,0.9315068493150684,0.139917695473251,0.2432915921288014,0.0335570469798657,144,5,418,68
ae_mse_l128_e60,mean,topk_mse_5,0.0116413272777572,0.945632060098876,0.8488188976377953,0.96875,0.8292181069958847,0.893569844789357,0.087248322147651,136,13,83,403
ae_mse_l128_e60,top2_mean,topk_mse_5,0.0254674362018704,0.9438506366172288,0.5811023622047244,0.9954954954954957,0.4547325102880658,0.6242937853107344,0.0067114093959731,148,1,265,221
ae_mse_l128_e60,max,topk_mse_5,0.0291130462661385,0.942221117463474,0.5354330708661418,0.9948186528497408,0.3950617283950617,0.5655375552282769,0.0067114093959731,148,1,294,192
ae_mse_l128_e60,mean,topk_mse_10,0.0073424724883145,0.9372635125804402,0.84251968503937,0.9684466019417476,0.8209876543209876,0.888641425389755,0.087248322147651,136,13,87,399
ae_mse_l128_e60,top2_mean,topk_mse_10,0.0148097094148397,0.9356339934266854,0.6094488188976378,0.9958333333333332,0.4917695473251028,0.6584022038567493,0.0067114093959731,148,1,247,239
ae_mse_l128_e60,max,topk_mse_10,0.0170016095042228,0.9339078078824538,0.5779527559055118,0.9954545454545456,0.4506172839506173,0.6203966005665722,0.0067114093959731,148,1,267,219
ae_mse_l128_e60,mean,ensemble_mse_ssim_topk,1.3954233183713165,0.9191454691081836,0.8551181102362204,0.9539170506912442,0.8518518518518519,0.9,0.1342281879194631,129,20,72,414
ae_mse_l128_e60,top2_mean,ensemble_mse_ssim_topk,4.300093754834732,0.9175988068605518,0.6015748031496063,0.9957446808510638,0.4814814814814814,0.6490984743411928,0.0067114093959731,148,1,252,234
