class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.003561943855602294,0.0016312546201294963,247,0.988
DME,250,167,0.0030978428586386146,0.0019641927057977276,203,0.812
DRUSEN,250,169,0.0015761537400539964,0.0014485924142072094,85,0.34
NORMAL,250,171,0.0009549773358739912,0.000343778361609397,15,0.06
