patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
mean,mse,CNV,178,250,0.003567466546808978,0.001430320838031163,177,0.9943820224719101
mean,mse,DME,167,250,0.003037488000722067,0.0018730457940779597,153,0.9161676646706587
mean,mse,DRUSEN,169,250,0.0015876288280991734,0.0016370759947709377,81,0.47928994082840237
mean,mse,NORMAL,171,250,0.0009504391514849058,0.00033798718555693265,16,0.0935672514619883
mean,l1,CNV,178,250,0.0344220532521359,0.006943797164667345,175,0.9831460674157303
mean,l1,DME,167,250,0.031635660227369286,0.008623631993959864,147,0.8802395209580839
mean,l1,DRUSEN,169,250,0.023402788584566903,0.0050291323608300156,83,0.4911242603550296
mean,l1,NORMAL,171,250,0.020511091668812285,0.0034054036628601144,40,0.23391812865497075
mean,retina_band_mse,CNV,178,250,0.004091161055840561,0.0014687038196685377,177,0.9943820224719101
mean,retina_band_mse,DME,167,250,0.0035928931303293764,0.00216449748909577,150,0.8982035928143712
mean,retina_band_mse,DRUSEN,169,250,0.0019845511578469323,0.0023338583861393725,92,0.5443786982248521
mean,retina_band_mse,NORMAL,171,250,0.0011616891656559723,0.0004174887560708722,20,0.11695906432748537
mean,retina_weighted_mse,CNV,178,250,0.003923612259535857,0.0014394481929746175,177,0.9943820224719101
mean,retina_weighted_mse,DME,167,250,0.0034089147884656403,0.0020539337604177994,152,0.9101796407185628
mean,retina_weighted_mse,DRUSEN,169,250,0.0018504467887056333,0.0020971821788640277,89,0.5266272189349113
mean,retina_weighted_mse,NORMAL,171,250,0.0010868046394778934,0.0003823228543972362,19,0.1111111111111111
mean,topk_mse_5,CNV,178,250,0.04370990641869201,0.018273854909918244,178,1.0
mean,topk_mse_5,DME,167,250,0.036656306530032344,0.024627285854553083,156,0.9341317365269461
mean,topk_mse_5,DRUSEN,169,250,0.019361218702511798,0.023275167618931367,90,0.5325443786982249
mean,topk_mse_5,NORMAL,171,250,0.009608566537944162,0.004564442387568751,13,0.07602339181286549
mean,topk_mse_10,CNV,178,250,0.027283312661430862,0.011019972893892824,178,1.0
mean,topk_mse_10,DME,167,250,0.022967790906523382,0.014919787104661283,156,0.9341317365269461
mean,topk_mse_10,DRUSEN,169,250,0.011863240400188836,0.01500172902098925,88,0.5207100591715976
mean,topk_mse_10,NORMAL,171,250,0.006206410456054791,0.0025562506956366107,14,0.08187134502923976
