class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error
CNV,250,178,0.0029213121393694957,0.0012940101610376693
DME,250,167,0.0025920938954222426,0.0015540094699453254
DRUSEN,250,169,0.0013165507807861492,0.0006426065233784627
NORMAL,250,171,0.0008644012132426204,0.000291582821648661
