class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.008020185482688248,0.004310464000880349,231,0.924
DME,250,167,0.006952048560604453,0.004012645727773288,184,0.736
DRUSEN,250,169,0.0033391141924075784,0.0020252904025470004,41,0.164
NORMAL,250,171,0.0023873355640098453,0.0011028037796127128,14,0.056
