class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.0028912174608558415,0.0012322065129228507,244,0.976
DME,250,167,0.0025817651946563273,0.0015974118879944382,205,0.82
DRUSEN,250,169,0.0013233301375294103,0.0007253832358264275,88,0.352
NORMAL,250,171,0.000853093077079393,0.0003084120790769895,13,0.052
