class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.00291032971162349,0.000978450429248214,228,0.912
DME,250,167,0.0024661306457128378,0.001286839769976319,183,0.732
DRUSEN,250,169,0.0016151623236946762,0.0007818675026857887,91,0.364
NORMAL,250,171,0.001066759237088263,0.00043366190558051315,20,0.08
