patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,97,ensemble_l1_ssim_topk,1.5410853972639311,0.8795936013834846,0.7795620437956204,0.9437652811735942,0.7509727626459144,0.8364030335861322,0.13450292397660818,148,23,128,386
mean,99,ensemble_l1_ssim_topk,1.8877552453356383,0.8795936013834846,0.7255474452554744,0.9738372093023255,0.6517509727626459,0.7808857808857809,0.05263157894736842,162,9,179,335
mean,95,ensemble_mse_l1_retina,1.3774967884616403,0.8663276219082076,0.7824817518248175,0.9176201372997712,0.7801556420233463,0.843322818086225,0.21052631578947367,135,36,113,401
mean,97,ensemble_mse_l1_retina,1.6288268463476208,0.8663276219082076,0.7678832116788321,0.947103274559194,0.7315175097276264,0.8254665203073546,0.12280701754385964,150,21,138,376
mean,99,ensemble_mse_l1_retina,2.2359990288833522,0.8663276219082076,0.6671532846715329,0.9703947368421053,0.5739299610894941,0.7212713936430318,0.05263157894736842,162,9,219,295
mean,95,ensemble_all_base,1.3324394384999798,0.883621180057797,0.8175182481751825,0.9293598233995585,0.8190661478599222,0.8707342295760083,0.1871345029239766,139,32,93,421
mean,97,ensemble_all_base,1.6253331057376375,0.883621180057797,0.7751824817518248,0.95,0.7392996108949417,0.8315098468271335,0.11695906432748537,151,20,134,380
mean,99,ensemble_all_base,2.1219781790278462,0.883621180057797,0.7051094890510949,0.9727272727272728,0.6245136186770428,0.7606635071090048,0.05263157894736842,162,9,193,321
max,95,mse,0.0040729675907641635,0.856770655562382,0.454014598540146,0.9794520547945206,0.2782101167315175,0.43333333333333335,0.017543859649122806,168,3,371,143
max,97,mse,0.005067104166373603,0.856770655562382,0.35474452554744523,0.9864864864864865,0.14202334630350194,0.24829931972789115,0.005847953216374269,170,1,441,73
max,99,mse,0.0075255451165139615,0.856770655562382,0.27153284671532846,1.0,0.029182879377431907,0.05671077504725898,0.0,171,0,499,15
max,95,l1,0.045120755955576894,0.7780053245955355,0.345985401459854,0.9459459459459459,0.13618677042801555,0.23809523809523808,0.023391812865497075,167,4,444,70
max,97,l1,0.04894772931933403,0.7780053245955355,0.3007299270072993,0.9487179487179487,0.07198443579766536,0.13381555153707053,0.011695906432748537,169,2,477,37
max,99,l1,0.05879213042557239,0.7780053245955355,0.25547445255474455,0.8333333333333334,0.009727626459143969,0.019230769230769232,0.005847953216374269,170,1,509,5
max,95,ssim_error,0.5652092754840851,0.6775206498737115,0.2934306569343066,0.875,0.06809338521400778,0.1263537906137184,0.029239766081871343,166,5,479,35
max,97,ssim_error,0.5964869129657745,0.6775206498737115,0.27153284671532846,0.8571428571428571,0.03501945525291829,0.06728971962616823,0.017543859649122806,168,3,496,18
max,99,ssim_error,0.6424742031097411,0.6775206498737115,0.2569343065693431,0.7777777777777778,0.013618677042801557,0.02676864244741874,0.011695906432748537,169,2,507,7
max,95,mse_ssim_score,0.11680019348859785,0.6896716499419756,0.2934306569343066,0.875,0.06809338521400778,0.1263537906137184,0.029239766081871343,166,5,479,35
max,97,mse_ssim_score,0.12304019555449483,0.6896716499419756,0.27445255474452557,0.8695652173913043,0.038910505836575876,0.074487895716946,0.017543859649122806,168,3,494,20
max,99,mse_ssim_score,0.1333831924200058,0.6896716499419756,0.2569343065693431,0.7777777777777778,0.013618677042801557,0.02676864244741874,0.011695906432748537,169,2,507,7
max,95,retina_band_mse,0.004349561547860501,0.8649509636607731,0.4832116788321168,0.9819277108433735,0.31712062256809337,0.47941176470588237,0.017543859649122806,168,3,351,163
max,97,retina_band_mse,0.005642602583393449,0.8649509636607731,0.36496350364963503,0.9876543209876543,0.1556420233463035,0.2689075630252101,0.005847953216374269,170,1,434,80
max,99,retina_band_mse,0.0075255451165139615,0.8649509636607731,0.28029197080291973,1.0,0.04085603112840467,0.07850467289719626,0.0,171,0,493,21
max,95,retina_weighted_mse,0.0042624369263648985,0.868318656563588,0.4744525547445255,0.98125,0.30544747081712065,0.4658753709198813,0.017543859649122806,168,3,357,157
max,97,retina_weighted_mse,0.005502288183197377,0.868318656563588,0.362043795620438,0.9873417721518988,0.1517509727626459,0.2630691399662732,0.005847953216374269,170,1,436,78
max,99,retina_weighted_mse,0.0075255451165139615,0.868318656563588,0.2759124087591241,1.0,0.03501945525291829,0.06766917293233082,0.0,171,0,496,18
max,95,topk_mse_5,0.05114348568022238,0.9146699433408424,0.39854014598540144,0.9903846153846154,0.20038910505836577,0.3333333333333333,0.005847953216374269,170,1,411,103
max,97,topk_mse_5,0.05833331853151321,0.9146699433408424,0.35474452554744523,0.9864864864864865,0.14202334630350194,0.24829931972789115,0.005847953216374269,170,1,441,73
max,99,topk_mse_5,0.08342145785689349,0.9146699433408424,0.28905109489051095,1.0,0.05252918287937743,0.09981515711645102,0.0,171,0,487,27
max,95,topk_mse_10,0.029347124882042375,0.8986165153480329,0.43795620437956206,0.9923664122137404,0.2529182879377432,0.40310077519379844,0.005847953216374269,170,1,384,130
max,97,topk_mse_10,0.035852563977241514,0.8986165153480329,0.3635036496350365,0.9875,0.15369649805447472,0.265993265993266,0.005847953216374269,170,1,435,79
max,99,topk_mse_10,0.04883580036461351,0.8986165153480329,0.291970802919708,1.0,0.05642023346303502,0.10681399631675875,0.0,171,0,485,29
max,95,ensemble_mse_l1,4.351189027129743,0.8326165608573963,0.44233576642335765,0.9714285714285714,0.26459143968871596,0.41590214067278286,0.023391812865497075,167,4,378,136
max,97,ensemble_mse_l1,5.223478659469685,0.8326165608573963,0.36496350364963503,0.9759036144578314,0.1575875486381323,0.271356783919598,0.011695906432748537,169,2,433,81
max,99,ensemble_mse_l1,8.670539220532419,0.8326165608573963,0.2671532846715328,1.0,0.023346303501945526,0.045627376425855515,0.0,171,0,502,12
max,95,ensemble_mse_l1_ssim,3.6639561642059144,0.8127175916444808,0.4072992700729927,0.9655172413793104,0.2178988326848249,0.35555555555555557,0.023391812865497075,167,4,402,112
max,97,ensemble_mse_l1_ssim,4.431790721463142,0.8127175916444808,0.3445255474452555,0.9710144927536232,0.1303501945525292,0.22984562607204118,0.011695906432748537,169,2,447,67
max,99,ensemble_mse_l1_ssim,6.882708882272644,0.8127175916444808,0.26277372262773724,1.0,0.017509727626459144,0.03441682600382409,0.0,171,0,505,9
max,95,ensemble_mse_retina,4.825279960159477,0.866304867226432,0.47007299270072994,0.9808917197452229,0.29961089494163423,0.45901639344262296,0.017543859649122806,168,3,360,154
max,97,ensemble_mse_retina,6.763181783948543,0.866304867226432,0.35912408759124087,0.987012987012987,0.14785992217898833,0.2571912013536379,0.005847953216374269,170,1,438,76
max,99,ensemble_mse_retina,10.311950004605315,0.866304867226432,0.2759124087591241,1.0,0.03501945525291829,0.06766917293233082,0.0,171,0,496,18
max,95,ensemble_mse_ssim_topk,4.633890536443766,0.8749744009830023,0.47007299270072994,0.9870967741935484,0.29766536964980544,0.45739910313901344,0.011695906432748537,169,2,361,153
max,97,ensemble_mse_ssim_topk,6.297205405297663,0.8749744009830023,0.35912408759124087,0.987012987012987,0.14785992217898833,0.2571912013536379,0.005847953216374269,170,1,438,76
max,99,ensemble_mse_ssim_topk,9.74298936848892,0.8749744009830023,0.27445255474452557,1.0,0.033073929961089495,0.064030131826742,0.0,171,0,497,17
max,95,ensemble_l1_ssim_topk,3.742120807319911,0.8628006462329625,0.47007299270072994,0.9808917197452229,0.29961089494163423,0.45901639344262296,0.017543859649122806,168,3,360,154
max,97,ensemble_l1_ssim_topk,4.99910742376987,0.8628006462329625,0.362043795620438,0.9873417721518988,0.1517509727626459,0.2630691399662732,0.005847953216374269,170,1,436,78
max,99,ensemble_l1_ssim_topk,7.719497538518783,0.8628006462329625,0.27445255474452557,1.0,0.033073929961089495,0.064030131826742,0.0,171,0,497,17
max,95,ensemble_mse_l1_retina,4.26820435540906,0.8506268914829227,0.46277372262773725,0.9802631578947368,0.2898832684824903,0.44744744744744747,0.017543859649122806,168,3,365,149
max,97,ensemble_mse_l1_retina,5.266963003270791,0.8506268914829227,0.37664233576642336,0.978021978021978,0.17315175097276264,0.29421487603305785,0.011695906432748537,169,2,425,89
max,99,ensemble_mse_l1_retina,8.639065819673439,0.8506268914829227,0.2686131386861314,1.0,0.02529182879377432,0.04933586337760911,0.0,171,0,501,13
max,95,ensemble_all_base,4.181229577431788,0.8682731472000362,0.47737226277372263,0.9814814814814815,0.3093385214007782,0.47041420118343197,0.017543859649122806,168,3,355,159
max,97,ensemble_all_base,5.7418317513349075,0.8682731472000362,0.362043795620438,0.9873417721518988,0.1517509727626459,0.2630691399662732,0.005847953216374269,170,1,436,78
max,99,ensemble_all_base,9.081116708515834,0.8682731472000362,0.27153284671532846,1.0,0.029182879377431907,0.05671077504725898,0.0,171,0,499,15
top2_mean,95,mse,0.0038148337160237127,0.8677270348374179,0.4583941605839416,0.9798657718120806,0.2840466926070039,0.44042232277526394,0.017543859649122806,168,3,368,146
top2_mean,97,mse,0.004220695996191352,0.8677270348374179,0.41021897810218977,0.9741379310344828,0.2198443579766537,0.35873015873015873,0.017543859649122806,168,3,401,113
top2_mean,99,mse,0.00666912704706192,0.8677270348374179,0.27007299270072993,1.0,0.027237354085603113,0.05303030303030303,0.0,171,0,500,14
top2_mean,95,l1,0.042953019961714745,0.7907593237308577,0.3708029197080292,0.9662921348314607,0.16731517509727625,0.28524046434494194,0.017543859649122806,168,3,428,86
top2_mean,97,l1,0.046417864747345446,0.7907593237308577,0.32262773722627736,0.9629629629629629,0.10116731517509728,0.18309859154929578,0.011695906432748537,169,2,462,52
top2_mean,99,l1,0.05438291527330874,0.7907593237308577,0.2686131386861314,1.0,0.02529182879377432,0.04933586337760911,0.0,171,0,501,13
top2_mean,95,ssim_error,0.53943273127079,0.6877943886954739,0.3007299270072993,0.9069767441860465,0.07587548638132295,0.1400359066427289,0.023391812865497075,167,4,475,39
top2_mean,97,ssim_error,0.5658312368392944,0.6877943886954739,0.2832116788321168,0.896551724137931,0.05058365758754864,0.09576427255985268,0.017543859649122806,168,3,488,26
top2_mean,99,ssim_error,0.6048168987035748,0.6877943886954739,0.26423357664233577,0.8571428571428571,0.023346303501945526,0.045454545454545456,0.011695906432748537,169,2,502,12
top2_mean,95,mse_ssim_score,0.11129515767097471,0.700969349443648,0.30364963503649633,0.9111111111111111,0.07976653696498054,0.14669051878354203,0.023391812865497075,167,4,473,41
top2_mean,97,mse_ssim_score,0.11654983155429362,0.700969349443648,0.28613138686131384,0.9032258064516129,0.054474708171206226,0.10275229357798166,0.017543859649122806,168,3,486,28
top2_mean,99,mse_ssim_score,0.12507559388875952,0.700969349443648,0.2671532846715328,0.875,0.027237354085603113,0.052830188679245285,0.011695906432748537,169,2,500,14
top2_mean,95,retina_band_mse,0.004077540233265608,0.8744965526657109,0.4992700729927007,0.9830508474576272,0.33852140077821014,0.5036179450072359,0.017543859649122806,168,3,340,174
top2_mean,97,retina_band_mse,0.00463516996707766,0.8744965526657109,0.4291970802919708,0.9767441860465116,0.245136186770428,0.39191290824261277,0.017543859649122806,168,3,388,126
top2_mean,99,retina_band_mse,0.00666912704706192,0.8744965526657109,0.2905109489051095,1.0,0.054474708171206226,0.1033210332103321,0.0,171,0,486,28
top2_mean,95,retina_weighted_mse,0.003973722865339365,0.8773636425694586,0.48759124087591244,0.9822485207100592,0.3229571984435798,0.486090775988287,0.017543859649122806,168,3,348,166
top2_mean,97,retina_weighted_mse,0.004450616571120914,0.8773636425694586,0.4306569343065693,0.9769230769230769,0.24708171206225682,0.3944099378881988,0.017543859649122806,168,3,387,127
top2_mean,99,retina_weighted_mse,0.00666912704706192,0.8773636425694586,0.2773722627737226,1.0,0.03696498054474708,0.07129455909943715,0.0,171,0,495,19
top2_mean,95,topk_mse_5,0.043428605329245314,0.9223041390766151,0.44525547445255476,0.9855072463768116,0.26459143968871596,0.4171779141104294,0.011695906432748537,169,2,378,136
top2_mean,97,topk_mse_5,0.05122343294322487,0.9223041390766151,0.37664233576642336,0.9887640449438202,0.17120622568093385,0.29187396351575456,0.005847953216374269,170,1,426,88
top2_mean,99,topk_mse_5,0.06868501745164392,0.9223041390766151,0.29927007299270075,0.9722222222222222,0.06809338521400778,0.12727272727272726,0.005847953216374269,170,1,479,35
top2_mean,95,topk_mse_10,0.02509078700095414,0.9080597082849797,0.4802919708029197,0.9876543209876543,0.311284046692607,0.47337278106508873,0.011695906432748537,169,2,354,160
top2_mean,97,topk_mse_10,0.03066400848329062,0.9080597082849797,0.40145985401459855,0.9905660377358491,0.20428015564202334,0.3387096774193548,0.005847953216374269,170,1,409,105
top2_mean,99,topk_mse_10,0.04093447923660277,0.9080597082849797,0.30802919708029197,1.0,0.07782101167315175,0.1444043321299639,0.0,171,0,474,40
top2_mean,95,ensemble_mse_l1,3.9957891890489923,0.8444376180399116,0.44963503649635034,0.9790209790209791,0.2723735408560311,0.426179604261796,0.017543859649122806,168,3,374,140
top2_mean,97,ensemble_mse_l1,4.976845990093536,0.8444376180399116,0.3635036496350365,0.975609756097561,0.1556420233463035,0.2684563758389262,0.011695906432748537,169,2,434,80
