class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.002837850608397275,0.0011842411698383029,244,0.976
DME,250,167,0.002564967088168487,0.0015962381667755958,207,0.828
DRUSEN,250,169,0.0012671204610960557,0.0006497963203634531,84,0.336
NORMAL,250,171,0.0008245674022473395,0.00028489162531783533,14,0.056
