patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
top2_mean,ensemble_mse_retina,3.9783513047152046,0.9176280519716933,0.6496350364963503,0.9892857142857143,0.5389105058365758,0.6977329974811083,0.017543859649122806,168,3,237,277
top2_mean,ensemble_all_base,3.5219333888678666,0.9146130566364031,0.6627737226277373,0.9896193771626297,0.556420233463035,0.7123287671232876,0.017543859649122806,168,3,228,286
top2_mean,mse,0.0017839187348727133,0.9142831137506542,0.6364963503649635,0.988929889298893,0.5214007782101168,0.6828025477707006,0.017543859649122806,168,3,246,268
top2_mean,retina_band_mse,0.0020935445325449106,0.9140100575693448,0.6437956204379562,0.9927007299270073,0.5291828793774319,0.6903553299492385,0.011695906432748537,169,2,242,272
max,ensemble_mse_ssim_topk,4.477612146443894,0.913190889025417,0.6277372262773723,0.9923954372623575,0.5077821011673151,0.6718146718146718,0.011695906432748537,169,2,253,261
max,retina_weighted_mse,0.002229296159930527,0.9124286071859284,0.6131386861313869,0.9920948616600791,0.4883268482490272,0.6544980443285529,0.011695906432748537,169,2,263,251
mean,ensemble_l1_ssim_topk,1.2695251816524689,0.9121327963228435,0.8452554744525548,0.9322033898305084,0.8560311284046692,0.8924949290060852,0.1871345029239766,139,32,74,440
max,ensemble_mse_retina,4.7398927889397955,0.9116890800282158,0.618978102189781,0.9922178988326849,0.4961089494163424,0.6614785992217899,0.011695906432748537,169,2,259,255
mean,ensemble_mse_l1_retina,1.279553201813772,0.9105172139167634,0.8496350364963504,0.9419354838709677,0.8521400778210116,0.8947906026557712,0.15789473684210525,144,27,76,438
max,ensemble_all_base,4.194572483623486,0.9087309713973651,0.6175182481751825,0.9921875,0.49416342412451364,0.6597402597402597,0.011695906432748537,169,2,260,254
max,retina_band_mse,0.0023439672309905277,0.9084806698978315,0.6145985401459854,0.98828125,0.49221789883268485,0.6571428571428571,0.017543859649122806,168,3,261,253
top2_mean,ensemble_l1_ssim_topk,3.3374873388940487,0.9078549161489975,0.6423357664233577,0.9890909090909091,0.5291828793774319,0.6894803548795945,0.017543859649122806,168,3,242,272
max,mse,0.0019488840596750363,0.9072632944228274,0.618978102189781,0.9922178988326849,0.4961089494163424,0.6614785992217899,0.011695906432748537,169,2,259,255
top2_mean,ensemble_mse_l1_retina,3.547758191734466,0.9061369376749266,0.6408759124087591,0.9890510948905109,0.5272373540856031,0.6878172588832487,0.017543859649122806,168,3,243,271
mean,ensemble_mse_l1,1.4239223886905097,0.9007895874576193,0.8379562043795621,0.9370932754880694,0.8404669260700389,0.8861538461538462,0.1695906432748538,142,29,82,432
max,ensemble_l1_ssim_topk,3.809276243109635,0.9005392859580859,0.6160583941605839,0.9921568627450981,0.49221789883268485,0.657997399219766,0.011695906432748537,169,2,261,253
max,ensemble_mse_l1_retina,4.120790542681289,0.8997883814594854,0.6160583941605839,0.9883268482490273,0.49416342412451364,0.6588845654993515,0.017543859649122806,168,3,260,254
top2_mean,ensemble_mse_l1,3.859368434852271,0.89626140578424,0.6131386861313869,0.9882352941176471,0.490272373540856,0.6553966189856957,0.017543859649122806,168,3,262,252
max,ensemble_mse_l1,4.367090258756978,0.8881038523676246,0.6,0.9918032786885246,0.4708171206225681,0.6385224274406333,0.011695906432748537,169,2,272,242
mean,ensemble_mse_l1_ssim,1.3027889830362802,0.88554395066785,0.8131386861313868,0.9106382978723404,0.8326848249027238,0.8699186991869918,0.24561403508771928,129,42,86,428
top2_mean,ensemble_mse_l1_ssim,3.645145150067541,0.8804924113136278,0.5737226277372263,0.9911504424778761,0.4357976653696498,0.6054054054054054,0.011695906432748537,169,2,290,224
max,ensemble_mse_l1_ssim,3.9264435855385016,0.8715953307392996,0.5591240875912409,0.9907407407407407,0.4163424124513619,0.5863013698630137,0.011695906432748537,169,2,300,214
mean,l1,0.020613418179564177,0.8619132136437071,0.7868613138686131,0.9035087719298246,0.8015564202334631,0.8494845360824742,0.2573099415204678,127,44,102,412
top2_mean,l1,0.029227668419480303,0.8568161649259335,0.5094890510948905,0.989010989010989,0.35019455252918286,0.5172413793103449,0.011695906432748537,169,2,334,180
max,l1,0.030208090320229516,0.8465879354677225,0.5036496350364964,0.9833333333333333,0.3443579766536965,0.5100864553314121,0.017543859649122806,168,3,337,177
mean,mse_ssim_score,0.0412333789374679,0.7969372198329807,0.7343065693430657,0.8896713615023474,0.7373540856031129,0.8063829787234043,0.27485380116959063,124,47,135,379
top2_mean,mse_ssim_score,0.06586745325475932,0.7894850615514143,0.37372262773722625,0.956989247311828,0.17315175097276264,0.2932454695222405,0.023391812865497075,167,4,425,89
mean,ssim_error,0.20275274232029902,0.7888251757799166,0.7226277372262774,0.8875598086124402,0.7217898832684825,0.796137339055794,0.27485380116959063,124,47,143,371
top2_mean,ssim_error,0.32133888602256766,0.7815095455890051,0.362043795620438,0.9529411764705882,0.1575875486381323,0.2704507512520868,0.023391812865497075,167,4,433,81
max,mse_ssim_score,0.06882284507155412,0.7779484378910961,0.36642335766423356,0.9444444444444444,0.16536964980544747,0.2814569536423841,0.029239766081871343,166,5,429,85
max,ssim_error,0.33737603425979595,0.7694268095660682,0.34890510948905107,0.9358974358974359,0.14202334630350194,0.24662162162162163,0.029239766081871343,166,5,441,73
