percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
95,mse,0.0011832378804683683,0.9126986666666668,0.786,0.9668989547038328,0.74,0.8383685800604229,0.076,231,19,195,555
97,mse,0.0013320581521838856,0.9126986666666668,0.738,0.9784313725490196,0.6653333333333333,0.792063492063492,0.044,239,11,251,499
99,mse,0.0017587545793503528,0.9126986666666668,0.628,0.9921875,0.508,0.671957671957672,0.012,247,3,369,381
95,l1,0.023058193176984775,0.848544,0.709,0.949119373776908,0.6466666666666666,0.7692307692307693,0.104,224,26,265,485
97,l1,0.02476078383624552,0.848544,0.653,0.9675174013921114,0.556,0.7061812023708721,0.056,236,14,333,417
99,l1,0.028267804086208347,0.848544,0.515,0.9783393501805054,0.36133333333333334,0.5277507302823758,0.024,244,6,479,271
95,ssim_error,0.24049993753433227,0.7592266666666667,0.594,0.9134615384615384,0.5066666666666667,0.6518010291595198,0.144,214,36,370,380
97,ssim_error,0.26882969379425037,0.7592266666666667,0.499,0.9399293286219081,0.3546666666666667,0.5150048402710552,0.068,233,17,484,266
99,ssim_error,0.3154191422462464,0.7592266666666667,0.368,0.946969696969697,0.16666666666666666,0.2834467120181406,0.028,243,7,625,125
95,mse_ssim_score,0.048988975584506975,0.768856,0.605,0.9176470588235294,0.52,0.6638297872340425,0.14,215,35,360,390
97,mse_ssim_score,0.0546463231742382,0.768856,0.517,0.9435215946843853,0.37866666666666665,0.5404376784015223,0.068,233,17,466,284
99,mse_ssim_score,0.06416576206684113,0.768856,0.386,0.9533333333333334,0.19066666666666668,0.31777777777777777,0.028,243,7,607,143
95,retina_band_mse,0.0014645259128883482,0.9105493333333333,0.781,0.9783783783783784,0.724,0.832183908045977,0.048,238,12,207,543
97,retina_band_mse,0.0016571493586525282,0.9105493333333333,0.733,0.9859154929577465,0.6533333333333333,0.7858861267040899,0.028,243,7,260,490
99,retina_band_mse,0.0020536470133811257,0.9105493333333333,0.631,0.9897172236503856,0.5133333333333333,0.6760316066725197,0.016,246,4,365,385
95,retina_weighted_mse,0.0013444253476336595,0.9152,0.794,0.9738675958188153,0.7453333333333333,0.8444108761329305,0.06,235,15,191,559
97,retina_weighted_mse,0.0015249015577137467,0.9152,0.74,0.9841897233201581,0.664,0.7929936305732485,0.032,242,8,252,498
99,retina_weighted_mse,0.0019040320394560714,0.9152,0.649,0.9901719901719902,0.5373333333333333,0.6966292134831461,0.016,246,4,347,403
95,topk_mse_5,0.01269554812461137,0.948736,0.813,0.9861830742659758,0.7613333333333333,0.8592927012791572,0.032,242,8,179,571
97,topk_mse_5,0.01462653253227472,0.948736,0.763,0.9904397705544933,0.6906666666666667,0.8138256087981147,0.02,245,5,232,518
99,topk_mse_5,0.020440780147910145,0.948736,0.641,0.9949367088607595,0.524,0.6864628820960699,0.008,248,2,357,393
95,topk_mse_10,0.00798792131245136,0.9395306666666667,0.809,0.9810671256454389,0.76,0.8564988730277987,0.044,239,11,180,570
97,topk_mse_10,0.00918586574494838,0.9395306666666667,0.76,0.9885057471264368,0.688,0.8113207547169812,0.024,244,6,234,516
99,topk_mse_10,0.012280444540083408,0.9395306666666667,0.656,0.9975490196078431,0.5426666666666666,0.7029360967184801,0.004,249,1,343,407
95,ensemble_mse_l1,2.0615360038351866,0.8926613333333334,0.763,0.9605026929982047,0.7133333333333334,0.8186687069625096,0.088,228,22,215,535
97,ensemble_mse_l1,2.5371238594857823,0.8926613333333334,0.724,0.9817073170731707,0.644,0.7777777777777778,0.036,241,9,267,483
99,ensemble_mse_l1,3.794384968264881,0.8926613333333334,0.599,0.9915492957746479,0.4693333333333333,0.63710407239819,0.012,247,3,398,352
95,ensemble_mse_l1_ssim,1.9428709084292897,0.8738879999999999,0.742,0.9538745387453874,0.6893333333333334,0.8003095975232198,0.1,225,25,233,517
97,ensemble_mse_l1_ssim,2.4048412658589053,0.8738879999999999,0.698,0.9725738396624473,0.6146666666666667,0.7532679738562091,0.052,237,13,289,461
99,ensemble_mse_l1_ssim,3.4046224179626554,0.8738879999999999,0.575,0.9850746268656716,0.44,0.6082949308755761,0.02,245,5,420,330
95,ensemble_mse_retina,2.0228410390861224,0.9153920000000001,0.793,0.9738219895287958,0.744,0.8435374149659864,0.06,235,15,192,558
97,ensemble_mse_retina,2.5921182119151362,0.9153920000000001,0.744,0.982421875,0.6706666666666666,0.7971473851030111,0.036,241,9,247,503
99,ensemble_mse_retina,3.8440001289175276,0.9153920000000001,0.638,0.9923857868020305,0.5213333333333333,0.6835664335664335,0.012,247,3,359,391
95,ensemble_mse_ssim_topk,2.041698968085975,0.917504,0.802,0.9693877551020408,0.76,0.852017937219731,0.072,232,18,180,570
97,ensemble_mse_ssim_topk,2.5310868912500784,0.917504,0.749,0.9807321772639692,0.6786666666666666,0.8022064617809299,0.04,240,10,241,509
99,ensemble_mse_ssim_topk,3.7862199025516556,0.917504,0.648,0.9925742574257426,0.5346666666666666,0.6949740034662045,0.012,247,3,349,401
95,ensemble_l1_ssim_topk,1.8536936772884316,0.9042453333333333,0.785,0.9620034542314335,0.7426666666666667,0.8382242287434161,0.088,228,22,193,557
97,ensemble_l1_ssim_topk,2.2696321751578483,0.9042453333333333,0.74,0.9841897233201581,0.664,0.7929936305732485,0.032,242,8,252,498
99,ensemble_l1_ssim_topk,3.194286086627637,0.9042453333333333,0.638,0.9923857868020305,0.5213333333333333,0.6835664335664335,0.012,247,3,359,391
95,ensemble_mse_l1_retina,1.9229107429416659,0.9033546666666666,0.78,0.9681978798586572,0.7306666666666667,0.8328267477203647,0.072,232,18,202,548
97,ensemble_mse_l1_retina,2.3984420032427693,0.9033546666666666,0.735,0.9821073558648111,0.6586666666666666,0.7885075818036712,0.036,241,9,256,494
99,ensemble_mse_l1_retina,3.486320876781378,0.9033546666666666,0.628,0.9921875,0.508,0.671957671957672,0.012,247,3,369,381
95,ensemble_all_base,1.915802277138844,0.9120586666666666,0.8,0.9692832764505119,0.7573333333333333,0.8502994011976048,0.072,232,18,182,568
97,ensemble_all_base,2.344589832514431,0.9120586666666666,0.753,0.9808795411089866,0.684,0.8059701492537313,0.04,240,10,237,513
99,ensemble_all_base,3.4465816744726228,0.9120586666666666,0.648,0.9925742574257426,0.5346666666666666,0.6949740034662045,0.012,247,3,349,401
