patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,97,retina_band_mse,0.0012728027518711645,0.9180262589027693,0.8306569343065694,0.9671361502347418,0.8015564202334631,0.8765957446808511,0.08187134502923976,157,14,102,412
mean,99,retina_band_mse,0.0015612798716580114,0.9180262589027693,0.7562043795620438,0.9859943977591037,0.6848249027237354,0.8082663605051664,0.029239766081871343,166,5,162,352
mean,95,retina_weighted_mse,0.0010931948852323165,0.92200832821353,0.8540145985401459,0.944206008583691,0.8560311284046692,0.8979591836734694,0.15204678362573099,145,26,74,440
mean,97,retina_weighted_mse,0.0011888375112903298,0.92200832821353,0.8394160583941606,0.9675925925925926,0.8132295719844358,0.8837209302325582,0.08187134502923976,157,14,96,418
mean,99,retina_weighted_mse,0.0014529965278139313,0.92200832821353,0.7605839416058394,0.9834254143646409,0.6926070038910506,0.8127853881278538,0.03508771929824561,165,6,158,356
mean,95,topk_mse_5,0.010315322615647816,0.9512708489771771,0.8715328467153285,0.9712389380530974,0.8540856031128404,0.9089026915113871,0.07602339181286549,158,13,75,439
mean,97,topk_mse_5,0.0111711478458407,0.9512708489771771,0.8467153284671532,0.9766899766899767,0.8151750972762646,0.8886532343584306,0.05847953216374269,161,10,95,419
mean,99,topk_mse_5,0.015001776470435838,0.9512708489771771,0.7664233576642335,0.994413407821229,0.6926070038910506,0.8165137614678899,0.011695906432748537,169,2,158,356
mean,95,topk_mse_10,0.006542730216557778,0.9428629940610281,0.8744525547445255,0.9734513274336283,0.8560311284046692,0.9109730848861284,0.07017543859649122,159,12,74,440
mean,97,topk_mse_10,0.007041454144986341,0.9428629940610281,0.8394160583941606,0.9764150943396226,0.8054474708171206,0.8827292110874201,0.05847953216374269,161,10,100,414
mean,99,topk_mse_10,0.009419656909790568,0.9428629940610281,0.7576642335766424,0.9915254237288136,0.6828793774319066,0.8087557603686636,0.017543859649122806,168,3,163,351
mean,95,ensemble_mse_l1,1.4239223886905097,0.9007895874576193,0.8379562043795621,0.9370932754880694,0.8404669260700389,0.8861538461538462,0.1695906432748538,142,29,82,432
mean,97,ensemble_mse_l1,1.6778931391815084,0.9007895874576193,0.8072992700729927,0.9504716981132075,0.7840466926070039,0.8592750533049041,0.12280701754385964,150,21,111,403
mean,99,ensemble_mse_l1,2.1497244686478894,0.9007895874576193,0.7576642335766424,0.9702702702702702,0.6984435797665369,0.8122171945701357,0.06432748538011696,160,11,155,359
mean,95,ensemble_mse_l1_ssim,1.3027889830362802,0.88554395066785,0.8131386861313868,0.9106382978723404,0.8326848249027238,0.8699186991869918,0.24561403508771928,129,42,86,428
mean,97,ensemble_mse_l1_ssim,1.6386966229669302,0.88554395066785,0.7824817518248175,0.9462102689486552,0.7529182879377432,0.838569880823402,0.1286549707602339,149,22,127,387
mean,99,ensemble_mse_l1_ssim,1.9433690191806243,0.88554395066785,0.7532846715328467,0.9649595687331537,0.6964980544747081,0.8090395480225989,0.07602339181286549,158,13,156,358
mean,95,ensemble_mse_retina,1.318044893294848,0.9216101212824539,0.8613138686131386,0.9544468546637744,0.8560311284046692,0.9025641025641026,0.12280701754385964,150,21,74,440
mean,97,ensemble_mse_retina,1.6098029098143074,0.9216101212824539,0.8321167883211679,0.9694117647058823,0.8015564202334631,0.8775292864749734,0.07602339181286549,158,13,102,412
mean,99,ensemble_mse_retina,2.4045408478969086,0.9216101212824539,0.7649635036496351,0.9862258953168044,0.6964980544747081,0.8164196123147093,0.029239766081871343,166,5,156,358
mean,95,ensemble_mse_ssim_topk,1.43415124712283,0.9241927776640045,0.8598540145985402,0.9543478260869566,0.8540856031128404,0.9014373716632443,0.12280701754385964,150,21,75,439
mean,97,ensemble_mse_ssim_topk,1.6435712259495874,0.9241927776640045,0.8306569343065694,0.9627906976744186,0.8054474708171206,0.8771186440677966,0.0935672514619883,155,16,100,414
mean,99,ensemble_mse_ssim_topk,2.322802929346675,0.9241927776640045,0.7766423357664234,0.9813333333333333,0.7159533073929961,0.8278965129358831,0.04093567251461988,164,7,146,368
