level,score_mode,metric,point,ci_low,ci_high,std,iterations
image,mse,auroc,0.9126986666666668,0.8951105518447634,0.9297021584014681,0.00901889043717953,1000
image,mse,accuracy,0.786,0.763,0.81,0.012270426005414585,1000
image,mse,precision,0.9668989547038328,0.9511709197235513,0.9800739634321912,0.007452211570663492,1000
image,mse,recall,0.74,0.7123386702849389,0.7708444148936171,0.015259395082758554,1000
image,mse,f1,0.8383685800604229,0.8184661169234266,0.8588646601146601,0.010367542641828513,1000
image,mse,fpr,0.076,0.04563843832516031,0.11163720930232557,0.016897221081152942,1000
image,l1,auroc,0.848544,0.8224157552107048,0.871397663543831,0.012646332962205582,1000
image,l1,accuracy,0.709,0.68,0.736,0.013886605518009531,1000
image,l1,precision,0.949119373776908,0.9295739152657883,0.9664694280078896,0.0095645507858232,1000
image,l1,recall,0.6466666666666666,0.6108177636739642,0.6797310590780741,0.017142899877215702,1000
image,l1,f1,0.7692307692307693,0.7411501445769916,0.7941414446497981,0.01289395118843317,1000
image,l1,fpr,0.104,0.06808297872340426,0.1407464512971121,0.018730725569572202,1000
image,ssim_error,auroc,0.7592266666666667,0.7225062335839735,0.7943809410286574,0.01796932017548315,1000
image,ssim_error,accuracy,0.594,0.562975,0.625,0.016033607846663234,1000
image,ssim_error,precision,0.9134615384615384,0.8864197530864197,0.9401913875598086,0.013627934083906801,1000
image,ssim_error,recall,0.5066666666666667,0.4705073090411585,0.5440210249671484,0.01909845433395045,1000
image,ssim_error,f1,0.6518010291595198,0.6183303119097298,0.6821137928711589,0.016973892228010472,1000
image,ssim_error,fpr,0.144,0.10330250557523285,0.19030294953802415,0.02203863393755009,1000
image,mse_ssim_score,auroc,0.768856,0.734668572557264,0.8030356311010228,0.01722236184736086,1000
image,mse_ssim_score,accuracy,0.605,0.572,0.636,0.0158627930770153,1000
image,mse_ssim_score,precision,0.9176470588235294,0.8904696556426867,0.9411764705882353,0.013352143337677147,1000
image,mse_ssim_score,recall,0.52,0.4833495598941671,0.5574668711571579,0.018465747438037677,1000
image,mse_ssim_score,f1,0.6638297872340425,0.6310964223976547,0.6953006340780064,0.016317119509523675,1000
image,mse_ssim_score,fpr,0.14,0.10161573022612817,0.1825827668402931,0.0213976749702176,1000
image,retina_band_mse,auroc,0.9105493333333333,0.8916171128208983,0.9287214028687182,0.009368100925360761,1000
image,retina_band_mse,accuracy,0.781,0.755,0.805,0.01238204389472963,1000
image,retina_band_mse,precision,0.9783783783783784,0.9645906683160466,0.9893432787876497,0.006293896356928851,1000
image,retina_band_mse,recall,0.724,0.6934188596491228,0.7526808677717891,0.015233403951577221,1000
image,retina_band_mse,f1,0.832183908045977,0.81067812012889,0.851457808614835,0.010579942359163751,1000
image,retina_band_mse,fpr,0.048,0.023162909453232034,0.07801550264968757,0.013627574628055184,1000
image,retina_weighted_mse,auroc,0.9152,0.8969951522644692,0.9320907594106806,0.00911944642155648,1000
image,retina_weighted_mse,accuracy,0.794,0.767,0.819,0.013035059984088632,1000
image,retina_weighted_mse,precision,0.9738675958188153,0.9599268109938842,0.9856893687707642,0.006663707974520931,1000
image,retina_weighted_mse,recall,0.7453333333333333,0.7103174603174603,0.7733359375,0.01616107257693018,1000
image,retina_weighted_mse,f1,0.8444108761329305,0.8215851895480831,0.8633544886609851,0.0109196681390769,1000
image,retina_weighted_mse,fpr,0.06,0.03278688524590164,0.09302325581395349,0.015286200681845536,1000
image,topk_mse_5,auroc,0.948736,0.9346385036597527,0.9617464759555232,0.007019305751807335,1000
image,topk_mse_5,accuracy,0.813,0.788,0.836,0.01244290665101708,1000
image,topk_mse_5,precision,0.9861830742659758,0.9755661223593161,0.9948280305723427,0.004851571612272198,1000
image,topk_mse_5,recall,0.7613333333333333,0.7306098185641495,0.7902379579478793,0.01559092925518486,1000
image,topk_mse_5,f1,0.8592927012791572,0.8393728033624407,0.8777221454684938,0.010275143403114218,1000
image,topk_mse_5,fpr,0.032,0.011997619047619049,0.05652915019762845,0.011138892509915241,1000
image,topk_mse_10,auroc,0.9395306666666667,0.9238945281780839,0.9534470231233139,0.00749730037768246,1000
image,topk_mse_10,accuracy,0.809,0.782,0.8310249999999999,0.012704205438981027,1000
image,topk_mse_10,precision,0.9810671256454389,0.9697495416801467,0.9913793103448276,0.0055666182521355604,1000
image,topk_mse_10,recall,0.76,0.7268992023377611,0.7894754041967664,0.015892707376779572,1000
image,topk_mse_10,f1,0.8564988730277987,0.8339822670968037,0.8754544409991414,0.010612761397142534,1000
image,topk_mse_10,fpr,0.044,0.01976090068780928,0.0706021855382469,0.012927090257098513,1000
