percentile,threshold,accuracy,precision,recall,f1,fpr,auroc
95,0.02475187741219997,0.699,0.9535353535353536,0.6293333333333333,0.7582329317269076,0.092,0.8459306666666666
97,0.026721021085977542,0.633,0.9705159705159705,0.5266666666666666,0.682800345721694,0.048,0.8459306666666666
99,0.03023490749299527,0.495,0.9766536964980544,0.33466666666666667,0.4985104270109235,0.024,0.8459306666666666
