class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.03157887732982635,0.006006118075267326,222,0.888
DME,250,167,0.029743771150708198,0.007201111966748814,184,0.736
DRUSEN,250,169,0.02283355651050806,0.004390601381770115,66,0.264
NORMAL,250,171,0.02038764274865389,0.003670035982049866,23,0.092
