level,score_mode,metric,point,ci_low,ci_high,std,iterations
image,mse,auroc,0.9117973333333332,0.893395404360854,0.9282384396539456,0.009138402484604874,1000
image,mse,accuracy,0.779,0.753,0.803025,0.012537986964306405,1000
image,mse,precision,0.9698046181172292,0.9546139475122211,0.9832782124707591,0.007333617671513331,1000
image,mse,recall,0.728,0.6989489371096953,0.7594124581350256,0.015641277436216156,1000
image,mse,f1,0.8316831683168316,0.8106397377978564,0.8525880153653943,0.010742949576490546,1000
image,mse,fpr,0.068,0.039005940867642995,0.10317788272333726,0.016267319509907747,1000
image,l1,auroc,0.848208,0.8228177493372862,0.8710040306146898,0.012678602696339423,1000
image,l1,accuracy,0.714,0.685,0.741,0.01374645277749733,1000
image,l1,precision,0.9566929133858267,0.9386463506670563,0.9729245339388145,0.008897417579215784,1000
image,l1,recall,0.648,0.611761852254239,0.6814547962648556,0.01701997796718887,1000
image,l1,f1,0.7726550079491256,0.744748742398571,0.797503514469921,0.012811598517508165,1000
image,l1,fpr,0.088,0.0552823240589198,0.12351750024694609,0.017390105899954187,1000
image,ssim_error,auroc,0.759584,0.722119131240836,0.7951462880691015,0.017901717882850728,1000
image,ssim_error,accuracy,0.594,0.563,0.6240249999999999,0.016006475134964802,1000
image,ssim_error,precision,0.9154589371980676,0.8875297982885086,0.9411800661584927,0.013500367371136615,1000
image,ssim_error,recall,0.5053333333333333,0.4684554927587425,0.5426714285714286,0.019059991176049222,1000
image,ssim_error,f1,0.6512027491408935,0.6166297057373007,0.6815986523080798,0.01699822071132479,1000
image,ssim_error,fpr,0.14,0.09923588392099843,0.18533207746917424,0.021639039671391264,1000
image,mse_ssim_score,auroc,0.7692906666666667,0.7354574090515967,0.8028339446849714,0.017238401580538253,1000
image,mse_ssim_score,accuracy,0.608,0.576,0.638025,0.01568067200328082,1000
image,mse_ssim_score,precision,0.9182242990654206,0.8918204066265061,0.9413210159835418,0.013287483133095947,1000
image,mse_ssim_score,recall,0.524,0.4887957927686553,0.561052128012351,0.01828618329362896,1000
image,mse_ssim_score,f1,0.66723259762309,0.6354293348772636,0.6990131578947368,0.01614382537006915,1000
image,mse_ssim_score,fpr,0.14,0.10161573022612817,0.1825827668402931,0.0213976749702176,1000
image,retina_band_mse,auroc,0.9087626666666666,0.8901445399529079,0.9277538852563095,0.009424541307494802,1000
image,retina_band_mse,accuracy,0.773,0.747,0.798,0.012768983159630654,1000
image,retina_band_mse,precision,0.9798165137614679,0.9668505876794615,0.9906546415120658,0.006032728904244773,1000
image,retina_band_mse,recall,0.712,0.6811615145417962,0.7425193747120098,0.01584011583873018,1000
image,retina_band_mse,f1,0.8247104247104247,0.8033843822774597,0.8458098601754049,0.011042362172386801,1000
image,retina_band_mse,fpr,0.044,0.020313104916763452,0.07142857142857142,0.012866440699194485,1000
image,retina_weighted_mse,auroc,0.913872,0.8955956145113165,0.9305536170458241,0.009042478351032788,1000
image,retina_weighted_mse,accuracy,0.782,0.754975,0.807,0.013233597511754064,1000
image,retina_weighted_mse,precision,0.9767025089605734,0.9638755717198435,0.9876133364384412,0.0062833112311728645,1000
image,retina_weighted_mse,recall,0.7266666666666667,0.6918895681395681,0.7576197217308754,0.01656246984756012,1000
image,retina_weighted_mse,f1,0.8333333333333334,0.8094845662777352,0.854325106651015,0.011365173325299424,1000
image,retina_weighted_mse,fpr,0.052,0.02712398645638421,0.08130532971996386,0.014043014841927466,1000
image,topk_mse_5,auroc,0.9473653333333334,0.9340385133325424,0.9605717857763185,0.007071196143955533,1000
image,topk_mse_5,accuracy,0.804,0.777,0.828,0.012503108682512766,1000
image,topk_mse_5,precision,0.9859649122807017,0.9756054771074026,0.994737072541248,0.004918132438295778,1000
image,topk_mse_5,recall,0.7493333333333333,0.7180328653732598,0.7792732166890982,0.015701261595841842,1000
image,topk_mse_5,f1,0.8515151515151516,0.8296863361822002,0.8706771807099999,0.010432003190663487,1000
image,topk_mse_5,fpr,0.032,0.012144524617996604,0.05556108897742363,0.011161537228775602,1000
image,topk_mse_10,auroc,0.9388213333333334,0.9230237657897077,0.9523172353961827,0.00750507989748946,1000
image,topk_mse_10,accuracy,0.802,0.774,0.825,0.0127752167168374,1000
image,topk_mse_10,precision,0.9825174825174825,0.9712151733158927,0.9925519014106404,0.005375719280111004,1000
image,topk_mse_10,recall,0.7493333333333333,0.7140827135634872,0.7789861561633202,0.01594891424049779,1000
image,topk_mse_10,f1,0.8502269288956127,0.826341613812544,0.869057668222921,0.010783132413289091,1000
image,topk_mse_10,fpr,0.04,0.016947364657083602,0.06464495109279307,0.012245645649349119,1000
image,ensemble_mse_l1,auroc,0.8922773333333334,0.8718164046048936,0.9115196150436301,0.010262457689452843,1000
image,ensemble_mse_l1,accuracy,0.76,0.7329749999999999,0.786,0.013594103267359858,1000
image,ensemble_mse_l1,precision,0.9619565217391305,0.9448395508651368,0.9764492753623188,0.008064796249958745,1000
image,ensemble_mse_l1,recall,0.708,0.6771924870217266,0.7397102167980679,0.016566911670654348,1000
image,ensemble_mse_l1,f1,0.815668202764977,0.792775344514475,0.8382291591380101,0.011726037880182569,1000
image,ensemble_mse_l1,fpr,0.084,0.05327868852459016,0.12030075187969924,0.017359685565452004,1000
image,ensemble_mse_l1_ssim,auroc,0.8734666666666667,0.8499815687624059,0.8947426467081973,0.011477739091301899,1000
image,ensemble_mse_l1_ssim,accuracy,0.745,0.718,0.773,0.013679671685293392,1000
image,ensemble_mse_l1_ssim,precision,0.9591836734693877,0.9411674669867947,0.9752666939339283,0.00866817496878443,1000
image,ensemble_mse_l1_ssim,recall,0.6893333333333334,0.6584027191641764,0.7229948544961725,0.016490228406732303,1000
image,ensemble_mse_l1_ssim,f1,0.8021722265321956,0.7794087999880089,0.8260238263628719,0.012045616102338995,1000
image,ensemble_mse_l1_ssim,fpr,0.088,0.05416385135135136,0.12456628113879002,0.01807078507971435,1000
image,ensemble_mse_retina,auroc,0.9146506666666667,0.8972631340728502,0.9315778516452571,0.009042581633595791,1000
image,ensemble_mse_retina,accuracy,0.785,0.757975,0.811,0.01314499474655228,1000
image,ensemble_mse_retina,precision,0.9751332149200711,0.9620253164556962,0.9871104264060065,0.006540958948697241,1000
image,ensemble_mse_retina,recall,0.732,0.6984121664751691,0.7638898099027409,0.016272111012000903,1000
image,ensemble_mse_retina,f1,0.8362528560548362,0.8127746337335378,0.8567122994652406,0.01109461157241485,1000
image,ensemble_mse_retina,fpr,0.056,0.02867127496159754,0.08469723600771986,0.014228568465136773,1000
image,ensemble_mse_ssim_topk,auroc,0.9167679999999998,0.8988961127167041,0.9329566601536111,0.008928303835206822,1000
image,ensemble_mse_ssim_topk,accuracy,0.794,0.769,0.8180249999999999,0.012721817033294754,1000
image,ensemble_mse_ssim_topk,precision,0.9705882352941176,0.9559322033898305,0.9829074389551391,0.006982035523300527,1000
image,ensemble_mse_ssim_topk,recall,0.748,0.7169497972928222,0.7779238281796069,0.015783543835400957,1000
image,ensemble_mse_ssim_topk,f1,0.8448795180722891,0.8231589328122542,0.8653460361721079,0.010663453463235155,1000
image,ensemble_mse_ssim_topk,fpr,0.068,0.03929916944943917,0.10084033613445378,0.01587509598300878,1000
image,ensemble_l1_ssim_topk,auroc,0.903872,0.8824750325527431,0.9222491677149638,0.01003030326226447,1000
image,ensemble_l1_ssim_topk,accuracy,0.776,0.75,0.803025,0.013477389956517559,1000
image,ensemble_l1_ssim_topk,precision,0.9630281690140845,0.9468938815990235,0.9773538823557878,0.007952730607711256,1000
image,ensemble_l1_ssim_topk,recall,0.7293333333333333,0.6980055589815087,0.76441345878274,0.016659852947905295,1000
image,ensemble_l1_ssim_topk,f1,0.8300455235204856,0.8083117150178747,0.853180399609838,0.011537697217796754,1000
image,ensemble_l1_ssim_topk,fpr,0.084,0.050960708607767434,0.12083333333333333,0.0177603320855795,1000
image,ensemble_mse_l1_retina,auroc,0.902336,0.8822850560726433,0.920485303813777,0.010055740643046629,1000
image,ensemble_mse_l1_retina,accuracy,0.775,0.748,0.800025,0.013514312140565385,1000
image,ensemble_mse_l1_retina,precision,0.9679144385026738,0.9537887252171271,0.9810711642278523,0.007224822670692576,1000
image,ensemble_mse_l1_retina,recall,0.724,0.6892946848950122,0.7540382190242041,0.01696172272869703,1000
image,ensemble_mse_l1_retina,f1,0.8283752860411899,0.8045934579439252,0.8488471960970888,0.011674413755079062,1000
image,ensemble_mse_l1_retina,fpr,0.072,0.042296025104602515,0.10646621579505079,0.015890576888362956,1000
image,ensemble_all_base,auroc,0.9114186666666666,0.8930885524577387,0.9281553949640942,0.008915580753125076,1000
image,ensemble_all_base,accuracy,0.787,0.761,0.81,0.012621048881724335,1000
image,ensemble_all_base,precision,0.9685863874345549,0.9538188277087034,0.9821444458566344,0.007317925697855414,1000
image,ensemble_all_base,recall,0.74,0.7074968655701475,0.770733569675484,0.015921005898314577,1000
image,ensemble_all_base,f1,0.8390022675736961,0.81699598754467,0.8582083442948951,0.010751896045542645,1000
image,ensemble_all_base,fpr,0.072,0.041188947489108,0.10588235294117647,0.016507833095801755,1000
patient_mean,mse,auroc,0.9188340501058092,0.8978617158033312,0.938827959264503,0.010634964955343877,1000
