patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,95,retina_weighted_mse,0.0011490637768491016,0.9221789883268483,0.8496350364963504,0.9536423841059603,0.8404669260700389,0.8934850051706308,0.12280701754385964,150,21,82,432
mean,97,retina_weighted_mse,0.001233674290939234,0.9221789883268483,0.8291970802919708,0.9670588235294117,0.7996108949416343,0.8753993610223643,0.08187134502923976,157,14,103,411
mean,99,retina_weighted_mse,0.001551840539452516,0.9221789883268483,0.7503649635036497,0.9858356940509915,0.6770428015564203,0.8027681660899654,0.029239766081871343,166,5,166,348
mean,95,topk_mse_5,0.010732447741967101,0.9515552824993742,0.8686131386861314,0.9711111111111111,0.8501945525291829,0.9066390041493776,0.07602339181286549,158,13,77,437
mean,97,topk_mse_5,0.011459621051326392,0.9515552824993742,0.8481751824817518,0.9723502304147466,0.8210116731517509,0.890295358649789,0.07017543859649122,159,12,92,422
mean,99,topk_mse_5,0.01590527084332683,0.9515552824993742,0.7489051094890511,0.9913793103448276,0.6712062256809338,0.8004640371229699,0.017543859649122806,168,3,169,345
mean,95,topk_mse_10,0.006822823793294706,0.9431132955605616,0.8656934306569343,0.9668141592920354,0.8501945525291829,0.9047619047619048,0.08771929824561403,156,15,77,437
mean,97,topk_mse_10,0.007367894153430824,0.9431132955605616,0.8379562043795621,0.9741176470588235,0.8054474708171206,0.8817891373801917,0.06432748538011696,160,11,100,414
mean,99,topk_mse_10,0.009850045528961342,0.9431132955605616,0.7489051094890511,0.9942196531791907,0.669260700389105,0.8,0.011695906432748537,169,2,170,344
mean,95,ensemble_mse_l1,1.4382167716463865,0.9009830022527134,0.8335766423357664,0.9366812227074236,0.8346303501945526,0.8827160493827161,0.1695906432748538,142,29,85,429
mean,97,ensemble_mse_l1,1.7176544318113396,0.9009830022527134,0.7985401459854015,0.9585365853658536,0.7645914396887159,0.8506493506493507,0.09941520467836257,154,17,121,393
mean,99,ensemble_mse_l1,2.204669655798825,0.9009830022527134,0.7576642335766424,0.9728260869565217,0.6964980544747081,0.8117913832199547,0.05847953216374269,161,10,156,358
mean,95,ensemble_mse_l1_ssim,1.3277627924561994,0.8849637062825676,0.8102189781021898,0.9137931034482759,0.8249027237354085,0.8670756646216768,0.23391812865497075,131,40,90,424
mean,97,ensemble_mse_l1_ssim,1.6729025693954163,0.8849637062825676,0.7722627737226277,0.9475,0.7373540856031129,0.8293216630196937,0.12280701754385964,150,21,135,379
mean,99,ensemble_mse_l1_ssim,1.9617711807129894,0.8849637062825676,0.7518248175182481,0.9699453551912568,0.6906614785992218,0.8068181818181818,0.06432748538011696,160,11,159,355
mean,95,ensemble_mse_retina,1.3061439748208223,0.9224747991899334,0.8583941605839416,0.9582417582417583,0.8482490272373541,0.8998968008255934,0.1111111111111111,152,19,78,436
mean,97,ensemble_mse_retina,1.595388798971972,0.9224747991899334,0.8189781021897811,0.9620853080568721,0.7898832684824902,0.8675213675213675,0.0935672514619883,155,16,108,406
mean,99,ensemble_mse_retina,2.3890115350685974,0.9224747991899334,0.7678832116788321,0.9889807162534435,0.6984435797665369,0.8187001140250855,0.023391812865497075,167,4,155,359
mean,95,ensemble_mse_ssim_topk,1.396552143030899,0.9241927776640043,0.8642335766423358,0.9507494646680942,0.8638132295719845,0.9051987767584098,0.13450292397660818,148,23,70,444
mean,97,ensemble_mse_ssim_topk,1.6454850297988552,0.9241927776640043,0.8306569343065694,0.9606481481481481,0.8073929961089494,0.8773784355179705,0.09941520467836257,154,17,99,415
mean,99,ensemble_mse_ssim_topk,2.3584366428027534,0.9241927776640043,0.7693430656934307,0.989010989010989,0.7003891050583657,0.8200455580865603,0.023391812865497075,167,4,154,360
mean,95,ensemble_l1_ssim_topk,1.2861175322725764,0.9126220219810226,0.8496350364963504,0.9381663113006397,0.8560311284046692,0.8952187182095626,0.1695906432748538,142,29,74,440
mean,97,ensemble_l1_ssim_topk,1.5250621971876623,0.9126220219810226,0.8262773722627738,0.9561200923787528,0.8054474708171206,0.8743400211193242,0.1111111111111111,152,19,100,414
mean,99,ensemble_l1_ssim_topk,2.0417334458552183,0.9126220219810226,0.7737226277372263,0.9812332439678284,0.7120622568093385,0.8252536640360767,0.04093567251461988,164,7,148,366
mean,95,ensemble_mse_l1_retina,1.3101330528671926,0.910665119348306,0.8437956204379562,0.9492273730684326,0.8365758754863813,0.889348500517063,0.13450292397660818,148,23,84,430
mean,97,ensemble_mse_l1_retina,1.5366649463890214,0.910665119348306,0.8175182481751825,0.9619952494061758,0.7879377431906615,0.8663101604278075,0.0935672514619883,155,16,109,405
mean,99,ensemble_mse_l1_retina,2.188823655225327,0.910665119348306,0.7591240875912408,0.9860724233983287,0.688715953307393,0.8109965635738832,0.029239766081871343,166,5,160,354
mean,95,ensemble_all_base,1.2901826332391289,0.9194142944910915,0.8598540145985402,0.9465811965811965,0.8618677042801557,0.9022403258655805,0.14619883040935672,146,25,71,443
mean,97,ensemble_all_base,1.5527825006530276,0.9194142944910915,0.8277372262773722,0.9647887323943662,0.7996108949416343,0.874468085106383,0.08771929824561403,156,15,103,411
mean,99,ensemble_all_base,2.210035677544991,0.9194142944910915,0.7635036496350365,0.9888888888888889,0.6926070038910506,0.8146453089244852,0.023391812865497075,167,4,158,356
max,95,mse,0.0021643036510795347,0.9077752747627824,0.5854014598540146,0.9956896551724138,0.4494163424124514,0.6193029490616622,0.005847953216374269,170,1,283,231
max,97,mse,0.002700656442902979,0.9077752747627824,0.47883211678832116,1.0,0.30544747081712065,0.46795827123695977,0.0,171,0,357,157
max,99,mse,0.004241112871095538,0.9077752747627824,0.3197080291970803,1.0,0.0933852140077821,0.1708185053380783,0.0,171,0,466,48
max,95,l1,0.03075133170932531,0.8464058980135163,0.48905109489051096,0.9880952380952381,0.3229571984435798,0.4868035190615836,0.011695906432748537,169,2,348,166
