patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,topk_mse_5,0.011669818157215066,0.9477438733019318,0.8554744525547445,0.9726651480637813,0.830739299610895,0.8961175236096537,0.07017543859649122,159,12,87,427
top2_mean,topk_mse_5,0.02549506174400442,0.944182765604023,0.5489051094890511,0.9951690821256038,0.40077821011673154,0.5714285714285714,0.005847953216374269,170,1,308,206
mean,topk_mse_10,0.007407086389139243,0.9407809406785447,0.8437956204379562,0.9721577726218097,0.8151750972762646,0.8867724867724868,0.07017543859649122,159,12,95,419
max,topk_mse_5,0.028537050820887016,0.9391994902951283,0.5255474452554745,0.9947643979057592,0.36964980544747084,0.5390070921985816,0.005847953216374269,170,1,324,190
top2_mean,topk_mse_10,0.01529001644812518,0.9367192299815688,0.5693430656934306,0.995475113122172,0.4280155642023346,0.5986394557823129,0.005847953216374269,170,1,294,220
max,topk_mse_10,0.01659073624759901,0.9309281634696338,0.5591240875912409,0.9953271028037384,0.4143968871595331,0.5851648351648352,0.005847953216374269,170,1,301,213
mean,ensemble_all_base,1.4630860171776574,0.9277311306801375,0.8423357664233576,0.9634703196347032,0.8210116731517509,0.8865546218487395,0.0935672514619883,155,16,92,422
top2_mean,ensemble_all_base,4.502731093774976,0.92340774114274,0.6116788321167883,0.996,0.48443579766536965,0.6518324607329843,0.005847953216374269,170,1,265,249
mean,ensemble_mse_retina,1.392529474962914,0.9196304639679614,0.8394160583941606,0.963302752293578,0.8171206225680934,0.8842105263157894,0.0935672514619883,155,16,94,420
mean,retina_weighted_mse,0.0011947109812171666,0.9184699751973969,0.8452554744525548,0.9657534246575342,0.8229571984435797,0.8886554621848739,0.08771929824561403,156,15,91,423
max,ensemble_all_base,5.1447281646044285,0.9171046942908503,0.5795620437956205,0.991304347826087,0.44357976653696496,0.6129032258064516,0.011695906432748537,169,2,286,228
mean,mse,0.0010677720351108446,0.9167406193824379,0.8262773722627738,0.9561200923787528,0.8054474708171206,0.8743400211193242,0.1111111111111111,152,19,100,414
top2_mean,ensemble_mse_retina,4.3336203904217445,0.9153753384758914,0.6102189781021898,0.9920318725099602,0.48443579766536965,0.6509803921568628,0.011695906432748537,169,2,265,249
top2_mean,retina_weighted_mse,0.002193876431556343,0.9142489817279906,0.6058394160583942,0.9919354838709677,0.4785992217898833,0.6456692913385826,0.011695906432748537,169,2,268,246
mean,retina_band_mse,0.0012761202748899638,0.9138166427742508,0.8364963503649635,0.9527027027027027,0.8229571984435797,0.8830897703549061,0.12280701754385964,150,21,91,423
top2_mean,mse,0.001986879692412859,0.9122465697317222,0.5927007299270073,0.9916317991631799,0.46108949416342415,0.6294820717131474,0.011695906432748537,169,2,277,237
top2_mean,retina_band_mse,0.0023580082342959242,0.9093794798279746,0.6014598540145986,0.9918367346938776,0.4727626459143969,0.6403162055335968,0.011695906432748537,169,2,271,243
max,ensemble_mse_retina,5.227825030102841,0.9083100097845132,0.5518248175182482,0.9859154929577465,0.4085603112840467,0.5777166437414031,0.017543859649122806,168,3,304,210
max,retina_weighted_mse,0.0024558618431910597,0.9075022185814732,0.5722627737226277,0.986784140969163,0.4357976653696498,0.6045883940620783,0.017543859649122806,168,3,290,224
mean,ensemble_mse_l1_retina,1.3154488071799586,0.9074794638996974,0.8335766423357664,0.9444444444444444,0.8268482490272373,0.8817427385892116,0.14619883040935672,146,25,89,425
max,mse,0.002256434620358023,0.904282431110201,0.5503649635036496,0.9904761904761905,0.4046692607003891,0.574585635359116,0.011695906432748537,169,2,306,208
top2_mean,ensemble_mse_l1_retina,3.8561988182972793,0.9031219423396363,0.5970802919708029,0.9877049180327869,0.4688715953307393,0.6358839050131926,0.017543859649122806,168,3,273,241
max,retina_band_mse,0.002639014180749578,0.9025530752952421,0.5605839416058395,0.9907834101382489,0.4182879377431907,0.5882352941176471,0.011695906432748537,169,2,299,215
mean,ensemble_mse_l1,1.3987381433409587,0.8981955537351811,0.8291970802919708,0.9343544857768052,0.830739299610895,0.8795056642636457,0.17543859649122806,141,30,87,427
max,ensemble_mse_l1_retina,4.614450305195669,0.8955446333083033,0.5532846715328467,0.9905660377358491,0.4085603112840467,0.5785123966942148,0.011695906432748537,169,2,304,210
top2_mean,ensemble_mse_l1,3.9540203916364227,0.893428447903156,0.5854014598540146,0.9872881355932204,0.45330739299610895,0.6213333333333333,0.017543859649122806,168,3,281,233
max,ensemble_mse_l1,4.667865041953218,0.884633763396819,0.5386861313868613,0.9900990099009901,0.38910505836575876,0.5586592178770949,0.011695906432748537,169,2,314,200
mean,l1,0.021084732003509948,0.859000614376408,0.7766423357664234,0.9020044543429844,0.7879377431906615,0.8411214953271028,0.2573099415204678,127,44,109,405
top2_mean,l1,0.029776488896459282,0.8534598493640065,0.4832116788321168,0.9878048780487805,0.3151750972762646,0.4778761061946903,0.011695906432748537,169,2,352,162
max,l1,0.03083135671913622,0.8422531685894372,0.47153284671532847,0.9871794871794872,0.29961089494163423,0.4597014925373134,0.011695906432748537,169,2,360,154
