percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
95,mse,0.0012765184976160512,0.9092693333333333,0.776,0.9781818181818182,0.7173333333333334,0.8276923076923077,0.048,238,12,212,538
97,mse,0.0014742375072091783,0.9092693333333333,0.715,0.9813664596273292,0.632,0.7688564476885644,0.036,241,9,276,474
99,mse,0.001960834618657828,0.9092693333333333,0.585,0.9912023460410557,0.45066666666666666,0.6196150320806599,0.012,247,3,412,338
95,l1,0.023577748239040373,0.8448640000000001,0.697,0.9496981891348089,0.6293333333333333,0.7570168404170008,0.1,225,25,278,472
97,l1,0.025291174203157425,0.8448640000000001,0.638,0.9685990338164251,0.5346666666666666,0.6890034364261168,0.052,237,13,349,401
99,l1,0.029144176840782167,0.8448640000000001,0.493,0.9802371541501976,0.33066666666666666,0.4945164506480558,0.02,245,5,502,248
95,retina_band_mse,0.0015872456599026915,0.9052800000000001,0.762,0.9830188679245283,0.6946666666666667,0.8140625,0.036,241,9,229,521
97,retina_band_mse,0.001782614365220067,0.9052800000000001,0.71,0.9872881355932204,0.6213333333333333,0.762684124386252,0.024,244,6,284,466
99,retina_band_mse,0.0022487715911120184,0.9052800000000001,0.593,0.9886039886039886,0.46266666666666667,0.6303360581289736,0.016,246,4,403,347
95,retina_weighted_mse,0.0014633822720497842,0.9104640000000002,0.776,0.9816849816849816,0.7146666666666667,0.8271604938271605,0.04,240,10,214,536
97,retina_weighted_mse,0.0016621299646794783,0.9104640000000002,0.716,0.9854166666666667,0.6306666666666667,0.7691056910569106,0.028,243,7,277,473
99,retina_weighted_mse,0.0021156878210604213,0.9104640000000002,0.605,0.9889807162534435,0.4786666666666667,0.6451033243486074,0.016,246,4,391,359
95,topk_mse_5,0.014307661727070804,0.9437386666666667,0.784,0.9872262773722628,0.7213333333333334,0.8335901386748844,0.028,243,7,209,541
97,topk_mse_5,0.016837771758437117,0.9437386666666667,0.727,0.9917525773195877,0.6413333333333333,0.7789473684210526,0.016,246,4,269,481
99,topk_mse_5,0.02322317555546762,0.9437386666666667,0.584,0.9940828402366864,0.448,0.6176470588235294,0.008,248,2,414,336
95,topk_mse_10,0.008925210684537884,0.9355626666666665,0.784,0.9836956521739131,0.724,0.8341013824884793,0.036,241,9,207,543
97,topk_mse_10,0.010416304990649208,0.9355626666666665,0.727,0.9897330595482546,0.6426666666666667,0.7793047696038804,0.02,245,5,268,482
99,topk_mse_10,0.013900822773575808,0.9355626666666665,0.607,0.9944598337950139,0.4786666666666667,0.6462646264626463,0.008,248,2,391,359
95,ensemble_mse_l1,2.1172949298736876,0.8889706666666668,0.751,0.9664804469273743,0.692,0.8065268065268065,0.072,232,18,231,519
97,ensemble_mse_l1,2.5970498287507873,0.8889706666666668,0.707,0.9790356394129979,0.6226666666666667,0.7612061939690301,0.04,240,10,283,467
99,ensemble_mse_l1,3.901282088879945,0.8889706666666668,0.574,0.990909090909091,0.436,0.6055555555555555,0.012,247,3,423,327
95,ensemble_mse_retina,2.0909301555849518,0.9115306666666667,0.773,0.9780621572212066,0.7133333333333334,0.8249807247494217,0.048,238,12,215,535
97,ensemble_mse_retina,2.7508565753061998,0.9115306666666667,0.706,0.9830508474576272,0.6186666666666667,0.7594108019639935,0.032,242,8,286,464
99,ensemble_mse_retina,4.092348191843974,0.9115306666666667,0.601,0.9888579387186629,0.47333333333333333,0.6402164111812444,0.016,246,4,395,355
95,ensemble_mse_l1_retina,1.9466484684469874,0.8992853333333335,0.768,0.9692028985507246,0.7133333333333334,0.8218125960061444,0.068,233,17,215,535
97,ensemble_mse_l1_retina,2.462209834480216,0.8992853333333335,0.707,0.9790356394129979,0.6226666666666667,0.7612061939690301,0.04,240,10,283,467
99,ensemble_mse_l1_retina,3.6575742755452385,0.8992853333333335,0.592,0.9885714285714285,0.4613333333333333,0.6290909090909091,0.016,246,4,404,346
95,ensemble_all_base,2.1704586526275502,0.9206613333333333,0.786,0.9785714285714285,0.7306666666666667,0.8366412213740458,0.048,238,12,202,548
97,ensemble_all_base,2.8099761756291812,0.9206613333333333,0.724,0.985655737704918,0.6413333333333333,0.777059773828756,0.028,243,7,269,481
99,ensemble_all_base,4.223715901658409,0.9206613333333333,0.611,0.9918256130790191,0.48533333333333334,0.6517457475380484,0.012,247,3,386,364
