level,score_mode,metric,point,ci_low,ci_high,std,iterations
image,topk_mse_10,recall,0.724,0.6920867784864949,0.7553257891352364,0.016221780686370143,1000
image,topk_mse_10,f1,0.8341013824884793,0.8123537754120278,0.8556236970671081,0.011063697039569657,1000
image,topk_mse_10,fpr,0.036,0.015442530442530442,0.06201550387596899,0.011961051386979638,1000
image,ensemble_mse_l1,auroc,0.8889706666666668,0.8675296740759313,0.9088309529342701,0.010763743892879781,1000
image,ensemble_mse_l1,accuracy,0.751,0.723,0.779,0.014005267706242672,1000
image,ensemble_mse_l1,precision,0.9664804469273743,0.9499953531598513,0.9806622720232405,0.007738717561869907,1000
image,ensemble_mse_l1,recall,0.692,0.6569442750087138,0.7259358288770054,0.01721500268962025,1000
image,ensemble_mse_l1,f1,0.8065268065268065,0.7809362090454478,0.8302774500955805,0.012284198499374767,1000
image,ensemble_mse_l1,fpr,0.072,0.04278920981741994,0.10526829769736841,0.016336544456019193,1000
image,ensemble_mse_retina,auroc,0.9115306666666667,0.8924480180136461,0.9303121509374355,0.009691862378211558,1000
image,ensemble_mse_retina,accuracy,0.773,0.745,0.797,0.013051215814407274,1000
image,ensemble_mse_retina,precision,0.9780621572212066,0.9648131828488972,0.9890918972332016,0.006244145709347733,1000
image,ensemble_mse_retina,recall,0.7133333333333334,0.6799973544973545,0.7424755381604696,0.016033076280267997,1000
image,ensemble_mse_retina,f1,0.8249807247494217,0.8016042512706562,0.8454695635366457,0.011230942279416747,1000
image,ensemble_mse_retina,fpr,0.048,0.024582697285458286,0.07569721115537849,0.013487490679652344,1000
image,ensemble_mse_l1_retina,auroc,0.8992853333333335,0.8797745870973729,0.9182210984842564,0.009863847147818516,1000
image,ensemble_mse_l1_retina,accuracy,0.768,0.7429749999999999,0.793,0.012720554095498231,1000
image,ensemble_mse_l1_retina,precision,0.9692028985507246,0.9545432982577196,0.9823008849557522,0.007186744604623449,1000
image,ensemble_mse_l1_retina,recall,0.7133333333333334,0.6815282326345015,0.7436294474579387,0.015777792716140968,1000
image,ensemble_mse_l1_retina,f1,0.8218125960061444,0.7996851988469676,0.8424339956450735,0.010990855502526263,1000
image,ensemble_mse_l1_retina,fpr,0.068,0.039209320091673036,0.09955882352941174,0.015536597594701057,1000
image,ensemble_all_base,auroc,0.9206613333333333,0.9024990561784904,0.9370750686861667,0.00884752422765484,1000
image,ensemble_all_base,accuracy,0.786,0.761,0.811,0.012510996004356375,1000
image,ensemble_all_base,precision,0.9785714285714285,0.965634338114448,0.9907587068487181,0.006283042267289855,1000
image,ensemble_all_base,recall,0.7306666666666667,0.7006555508175892,0.7611960093432044,0.015558045620874239,1000
image,ensemble_all_base,f1,0.8366412213740458,0.814757848388572,0.8569460432583834,0.010669767395680086,1000
image,ensemble_all_base,fpr,0.048,0.02135634588563459,0.07722046959851837,0.013788177786061515,1000
patient_mean,mse,auroc,0.9167406193824379,0.8918946680712767,0.9375875477379182,0.010987421925115832,1000
patient_mean,mse,accuracy,0.8262773722627738,0.7970802919708029,0.8554744525547445,0.014531997720269134,1000
patient_mean,mse,precision,0.9561200923787528,0.9351223702891069,0.9726406234135445,0.009549549166269,1000
patient_mean,mse,recall,0.8054474708171206,0.7701041949497691,0.8400788619807895,0.01767317334069261,1000
patient_mean,mse,f1,0.8743400211193242,0.8501540506533912,0.8969700122977958,0.011576444202861587,1000
patient_mean,mse,fpr,0.1111111111111111,0.06987926533656535,0.15823390053261396,0.02316535868660387,1000
patient_mean,l1,auroc,0.859000614376408,0.8302573469077806,0.8886256643865675,0.015189255655003234,1000
patient_mean,l1,accuracy,0.7766423357664234,0.7445255474452555,0.8072992700729927,0.01596755320617993,1000
patient_mean,l1,precision,0.9020044543429844,0.8733563412687233,0.9305068037730014,0.014559304208417816,1000
patient_mean,l1,recall,0.7879377431906615,0.7514452065563461,0.8226438724688262,0.01833377277049845,1000
patient_mean,l1,f1,0.8411214953271028,0.8150498180404904,0.8653658244178052,0.012975470281321844,1000
patient_mean,l1,fpr,0.2573099415204678,0.18673933020216457,0.3205263157894737,0.03417880622438964,1000
patient_mean,retina_band_mse,auroc,0.9138166427742508,0.8919412153613746,0.9352632906747397,0.011347681115460763,1000
patient_mean,retina_band_mse,accuracy,0.8364963503649635,0.8087591240875912,0.8656934306569343,0.014448516300348668,1000
patient_mean,retina_band_mse,precision,0.9527027027027027,0.9325728303421628,0.9707881543810147,0.009902305830752134,1000
patient_mean,retina_band_mse,recall,0.8229571984435797,0.7886450022580159,0.8562994992737558,0.01747410738708779,1000
patient_mean,retina_band_mse,f1,0.8830897703549061,0.8614064597646687,0.9047141424272819,0.011234285389161033,1000
patient_mean,retina_band_mse,fpr,0.12280701754385964,0.07646099744245526,0.17450169806743754,0.025291316976611914,1000
patient_mean,retina_weighted_mse,auroc,0.9184699751973969,0.895110844644351,0.9389644575282873,0.011429513923945488,1000
patient_mean,retina_weighted_mse,accuracy,0.8452554744525548,0.8175182481751825,0.872992700729927,0.0142930132469584,1000
patient_mean,retina_weighted_mse,precision,0.9657534246575342,0.9460643789857273,0.9817808789728348,0.008787550475002204,1000
patient_mean,retina_weighted_mse,recall,0.8229571984435797,0.7889546351084813,0.8554693144869943,0.01725161264395963,1000
patient_mean,retina_weighted_mse,f1,0.8886554621848739,0.8673656264555193,0.9090909090909091,0.011139793932900832,1000
patient_mean,retina_weighted_mse,fpr,0.08771929824561403,0.046776825785393716,0.135606531191765,0.02195783323753218,1000
patient_mean,topk_mse_5,auroc,0.9477438733019318,0.9287263051318793,0.9644965852357952,0.00911393423660422,1000
patient_mean,topk_mse_5,accuracy,0.8554744525547445,0.8277372262773722,0.8817883211678832,0.013472756174340942,1000
patient_mean,topk_mse_5,precision,0.9726651480637813,0.9578619721523634,0.9864268680445152,0.007684324508523106,1000
patient_mean,topk_mse_5,recall,0.830739299610895,0.7992043505036731,0.8629383848133848,0.016708859586197503,1000
patient_mean,topk_mse_5,f1,0.8961175236096537,0.8739665080908396,0.9158942181469073,0.0104674366652853,1000
patient_mean,topk_mse_5,fpr,0.07017543859649122,0.034677097867251344,0.1111111111111111,0.019729721472340693,1000
patient_mean,topk_mse_10,auroc,0.9407809406785447,0.9215935350358508,0.9578757093977727,0.00942945324539312,1000
patient_mean,topk_mse_10,accuracy,0.8437956204379562,0.8145985401459854,0.8700729927007299,0.013741624435273669,1000
patient_mean,topk_mse_10,precision,0.9721577726218097,0.9572395535122081,0.9861767006299412,0.007701584973187373,1000
patient_mean,topk_mse_10,recall,0.8151750972762646,0.7801980198019802,0.8498122021360964,0.017058286244847683,1000
patient_mean,topk_mse_10,f1,0.8867724867724868,0.8649099554666503,0.90797934711488,0.010766899218851819,1000
patient_mean,topk_mse_10,fpr,0.07017543859649122,0.036342119419042494,0.10693345506187867,0.01905783749881734,1000
patient_mean,ensemble_mse_l1,auroc,0.8981955537351811,0.8724322111683716,0.9203231533179858,0.012218893341388846,1000
patient_mean,ensemble_mse_l1,accuracy,0.8291970802919708,0.8,0.8554744525547445,0.014541009955085992,1000
patient_mean,ensemble_mse_l1,precision,0.9343544857768052,0.9106343491591563,0.9572120046055024,0.011774038665126562,1000
patient_mean,ensemble_mse_l1,recall,0.830739299610895,0.7968683792372881,0.861942932784233,0.016569026984406834,1000
patient_mean,ensemble_mse_l1,f1,0.8795056642636457,0.8565415467173482,0.8995978820302011,0.011270542652464098,1000
patient_mean,ensemble_mse_l1,fpr,0.17543859649122806,0.11885940146809712,0.2349003396134875,0.0291481188611584,1000
patient_mean,ensemble_mse_retina,auroc,0.9196304639679614,0.8984662503517127,0.9406975637822697,0.010629040232651292,1000
patient_mean,ensemble_mse_retina,accuracy,0.8394160583941606,0.8131386861313868,0.8657299270072992,0.013624920535579073,1000
patient_mean,ensemble_mse_retina,precision,0.963302752293578,0.9441860465116279,0.979687389284232,0.008920063699394975,1000
patient_mean,ensemble_mse_retina,recall,0.8171206225680934,0.7838728089697937,0.8503987985067604,0.016760773807812414,1000
patient_mean,ensemble_mse_retina,f1,0.8842105263157894,0.8632915813877566,0.9044800222183388,0.010762953938365034,1000
patient_mean,ensemble_mse_retina,fpr,0.0935672514619883,0.05232463140294878,0.1419753086419753,0.022501184149891745,1000
patient_mean,ensemble_mse_l1_retina,auroc,0.9074794638996974,0.8829802919935913,0.930558112249928,0.011865018394220442,1000
patient_mean,ensemble_mse_l1_retina,accuracy,0.8335766423357664,0.8058029197080292,0.8627737226277372,0.014833533779397124,1000
patient_mean,ensemble_mse_l1_retina,precision,0.9444444444444444,0.9234331342252061,0.964657538333035,0.010737525520708802,1000
patient_mean,ensemble_mse_l1_retina,recall,0.8268482490272373,0.7945075342465753,0.8580063106796116,0.01731223168666666,1000
patient_mean,ensemble_mse_l1_retina,f1,0.8817427385892116,0.8596666133721791,0.9035670558820497,0.011480249451687135,1000
patient_mean,ensemble_mse_l1_retina,fpr,0.14619883040935672,0.09755438365194463,0.19888682303585042,0.02675203317825744,1000
patient_mean,ensemble_all_base,auroc,0.9277311306801375,0.905788423802538,0.9470308803121971,0.010548251888317704,1000
patient_mean,ensemble_all_base,accuracy,0.8423357664233576,0.8145985401459854,0.8686131386861314,0.013928907385069411,1000
patient_mean,ensemble_all_base,precision,0.9634703196347032,0.9448093096173007,0.9795000258852765,0.008931359664399178,1000
patient_mean,ensemble_all_base,recall,0.8210116731517509,0.7874257678845321,0.8525075259989052,0.01684985975507936,1000
patient_mean,ensemble_all_base,f1,0.8865546218487395,0.864269281910216,0.9062178938356165,0.010864634732756215,1000
patient_mean,ensemble_all_base,fpr,0.0935672514619883,0.052979158550837555,0.1403556187766714,0.022294128468854917,1000
patient_max,mse,auroc,0.904282431110201,0.8808218958716324,0.9272484945841668,0.011956362679836957,1000
patient_max,mse,accuracy,0.5503649635036496,0.5124087591240876,0.5897810218978102,0.019082438591590457,1000
patient_max,mse,precision,0.9904761904761905,0.9742234656268361,1.0,0.006944666131078637,1000
patient_max,mse,recall,0.4046692607003891,0.36254117388712864,0.4468095577148601,0.022148620687460985,1000
patient_max,mse,f1,0.574585635359116,0.5308434792366327,0.6158141247514545,0.022480638522487894,1000
patient_max,mse,fpr,0.011695906432748537,0.0,0.03126492834394903,0.008400226777669176,1000
patient_max,l1,auroc,0.8422531685894372,0.8111197005602884,0.8718120690832138,0.015725611278340768,1000
patient_max,l1,accuracy,0.47153284671532847,0.4335766423357664,0.5080291970802919,0.019067248370122903,1000
patient_max,l1,precision,0.9871794871794872,0.9673148864809081,1.0,0.009161429936109994,1000
patient_max,l1,recall,0.29961089494163423,0.2594441871498283,0.3383206161433856,0.020011725351779395,1000
patient_max,l1,f1,0.4597014925373134,0.41110244321035205,0.5041113061395811,0.023766745697302322,1000
patient_max,l1,fpr,0.011695906432748537,0.0,0.030129665001469283,0.008343339713486485,1000
patient_max,retina_band_mse,auroc,0.9025530752952421,0.8782023489971114,0.9248650803992188,0.011874875057797147,1000
patient_max,retina_band_mse,accuracy,0.5605839416058395,0.5240875912408759,0.5956204379562043,0.018792132231239034,1000
patient_max,retina_band_mse,precision,0.9907834101382489,0.9765230534148286,1.0,0.006264263343219275,1000
patient_max,retina_band_mse,recall,0.4182879377431907,0.3774684627383278,0.4576082187774203,0.020945502317460504,1000
patient_max,retina_band_mse,f1,0.5882352941176471,0.5467038185927956,0.6262099619020742,0.0209219682728615,1000
patient_max,retina_band_mse,fpr,0.011695906432748537,0.0,0.029594656840165812,0.007945671595029584,1000
patient_max,retina_weighted_mse,auroc,0.9075022185814732,0.8836315273282486,0.9279734633671306,0.011650579882652097,1000
patient_max,retina_weighted_mse,accuracy,0.5722627737226277,0.5328467153284672,0.6102554744525548,0.019962440180468055,1000
patient_max,retina_weighted_mse,precision,0.986784140969163,0.9710728829799976,1.0,0.00736431358077078,1000
patient_max,retina_weighted_mse,recall,0.4357976653696498,0.3915547024952015,0.48085523790167783,0.022708270212090778,1000
patient_max,retina_weighted_mse,f1,0.6045883940620783,0.5607651326573978,0.6469206435529854,0.02209748724800089,1000
patient_max,retina_weighted_mse,fpr,0.017543859649122806,0.0,0.0389646666182979,0.009744505592658968,1000
patient_max,topk_mse_5,auroc,0.9391994902951283,0.919310610351778,0.9564915989694989,0.009646527648289407,1000
patient_max,topk_mse_5,accuracy,0.5255474452554745,0.48905109489051096,0.5620437956204379,0.019069353506404044,1000
patient_max,topk_mse_5,precision,0.9947643979057592,0.9824561403508771,1.0,0.005214377042108462,1000
patient_max,topk_mse_5,recall,0.36964980544747084,0.3288947493009424,0.4102601156069364,0.021214423824985347,1000
patient_max,topk_mse_5,f1,0.5390070921985816,0.4941330473761496,0.581009778441699,0.02259758275627398,1000
patient_max,topk_mse_5,fpr,0.005847953216374269,0.0,0.018990365234217526,0.005836522218497607,1000
patient_max,topk_mse_10,auroc,0.9309281634696338,0.9116660284466901,0.9489907096385292,0.009698276769088285,1000
patient_max,topk_mse_10,accuracy,0.5591240875912409,0.5225912408759125,0.5970802919708029,0.019226917583045424,1000
patient_max,topk_mse_10,precision,0.9953271028037384,0.9849246231155779,1.0,0.00474208599061427,1000
patient_max,topk_mse_10,recall,0.4143968871595331,0.3707322051510428,0.4579358284409654,0.022178970102370296,1000
patient_max,topk_mse_10,f1,0.5851648351648352,0.5401343992584868,0.627297819340947,0.022152303278658234,1000
