class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
CNV,250,178,0.003909764794632792,0.0015417172959517505,224,0.896
DME,250,167,0.00333729829499498,0.0017575388935111365,175,0.7
DRUSEN,250,169,0.0022141717763151975,0.0009758548530911476,68,0.272
NORMAL,250,171,0.0016119851833209396,0.0006644699844657908,22,0.088
